Unnamed: 0	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
16195	The students found that the managers of the rights have resigned .	The author said that the study on the effects will be published soon .	The editor realized that the articles on the privatization excited the public .	The children say that the kid of the man is crying .	The president said that the threats of the tsunami in the schools alarm the doctors .	The colleagues think that the trainer of the winners of the games is getting a big raise .	My niece felt that the visits to the workshop of the craftsmen are approaching .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The students found that', 'the managers', 'of the rights', '', 'have resigned', '.']	['The author said that', 'the study', 'on the effects', '', 'will be published soon', '.']	['The editor realized that', 'the articles', 'on the privatization', '', 'excited the public', '.']	['The children say that', 'the kid', 'of the man', '', 'is crying', '.']	['The president said that', 'the threats', 'of the tsunami', 'in the schools', 'alarm the doctors', '.']	['The colleagues think that', 'the trainer', 'of the winners', 'of the games', 'is getting a big raise', '.']	['My niece felt that', 'the visits', 'to the workshop', 'of the craftsmen', 'are approaching', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the things in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the things', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16178	The prosecutors think that the lawyers of the pieces have returned .	The editor realized that the book and the privatizations excited the public .	John says that the computers with the program are broken .	The newspaper reported that the theory on the song divides the researchers .	The neighbors said that the accompanists of the musicians on the streets play wonderfully .	The article reported that the theory on the children of the canaries divides the researchers .	The prosecutors report that the lawyers of the thief from the villages have returned .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The prosecutors think that', 'the lawyers', 'of the pieces', '', 'have returned', '.']	['The editor realized that', 'the book', 'and the privatizations', '', 'excited the public', '.']	['John says that', 'the computers', 'with the program', '', 'are broken', '.']	['The newspaper reported that', 'the theory', 'on the song', '', 'divides the researchers', '.']	['The neighbors said that', 'the accompanists', 'of the musicians', 'on the streets', 'play wonderfully', '.']	['The article reported that', 'the theory', 'on the children', 'of the canaries', 'divides the researchers', '.']	['The prosecutors report that', 'the lawyers', 'of the thief', 'from the villages', 'have returned', '.']	The neighbors knew that the owner of the parrot in the trees is coming .	The neighbors knew that the owner of the parrot in the tree are coming .	The neighbors knew that the owner of the parrot in the trees are coming .	The neighbors knew that the owner of the parrot in the trees are coming .	The neighbors knew that the owner of the parrots in the trees is coming .	The neighbors knew that the owner of the parrot in the tree is coming .	The neighbors knew that the owner of the parrot and the tree is coming .	The neighbors knew that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors knew that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors knew that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16031	The conferences on the histories of which the speaker told me started later than planned .	The visit to the workshops of which my niece mentioned me is approaching .	The leaflets on the issue that the newspaper mentions were of great interest .	The napkin on the table that the mother served often shines in the sun .	The strikers on the balconies of the bosses that the colleagues were informed about block the door .	The conference on the problems of the wars of which the organizer told me started later than planned .	The boxes with the key of the cells that mary uses are on the shelf .	Subj_pl P1_pl P2_None ROC_pl V_pl	Subj_sg P1_pl P2_None ROC_sg V_sg	Subj_pl P1_sg P2_None ROC_pl V_pl	Subj_sg P1_sg P2_None ROC_sg V_sg	Subj_pl P1_pl P2_pl ROC_pl V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_pl P1_sg P2_pl ROC_pl V_pl	['The conferences', 'on the histories', '', 'of which the speaker told me', 'started later than planned', '.']	['The visit', 'to the workshops', '', 'of which my niece mentioned me', 'is approaching', '.']	['The leaflets', 'on the issue', '', 'that the newspaper mentions', 'were of great interest', '.']	['The napkin', 'on the table', '', 'that the mother served often', 'shines in the sun', '.']	['The strikers', 'on the balconies', 'of the bosses', 'that the colleagues were informed about', 'block the door', '.']	['The conference', 'on the problems', 'of the wars', 'of which the organizer told me', 'started later than planned', '.']	['The boxes', 'with the key', 'of the cells', 'that Mary uses', 'are on the shelf', '.']	The owner of the parrot in the trees that the neighbors see is coming .	The owner of the parrot in the tree that the neighbors see are coming .	The owner of the parrot in the trees that the neighbors see are coming .	The owner of the parrot in the trees that the neighbors see are coming .	The owner of the parrots in the trees that the neighbors see is coming .	The owner of the parrot in the tree that the neighbors see is coming .	The owner of the parrot and the tree that the neighbors see is coming .	The owner of the parrot in the trees in the garden that the neighbors see is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_sg P1_sg P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_sg	Subj_sg P1_sg Conj2_sg ROC_sg V_sg	Subj_sg P1_sg P2_pl P3_sg ROC_sg V_sg	['The owner', 'of the parrot', 'in the trees', 'that the neighbors see', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors see', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors see', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors see', 'are coming', '.']	['The owner', 'of the parrots', 'in the trees', 'that the neighbors see', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors see', 'is coming', '.']	['The owner', 'of the parrot', 'and the tree', 'that the neighbors see', 'is coming', '.']	['The owner', 'of the parrot', 'in the trees', 'in the garden', 'that the neighbors see', 'is coming', '.']
17	The animal of the worker is wallowing in the pond .	The dogs on the sofa fall asleep .	The research on the issues was of great interest .	The strikers on the balconies block the sign .	The engine of the car from the mechanic has crashed .	The threats of the flu in the school alarm the doctors .	The effect on the songs of the canary divides the researchers .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The animal', 'of the worker', '', 'is wallowing in the pond', '.']	['The dogs', 'on the sofa', '', 'fall asleep', '.']	['The research', 'on the issues', '', 'was of great interest', '.']	['The strikers', 'on the balconies', '', 'block the door', '.']	['The engine', 'of the car', 'from the mechanic', 'has crashed', '.']	['The threats', 'of the flu', 'in the school', 'alarm the doctors', '.']	['The effect', 'on the songs', 'of the canary', 'divides the researchers', '.']	The exhibitions with the youths of the child were very successful .	The exhibitions with the youths of the children was very successful .	The exhibitions with the youths of the child was very successful .	The exhibitions with the youths of the child was very successful .	The exhibitions with the youth of the child were very successful .	The exhibitions with the youths of the children were very successful .	The exhibitions with the youths and the children were very successful .	The exhibitions with the youths of the child of the schools were very successful .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The exhibitions', 'with the youths', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the youths', 'of the children', 'was very successful', '.']	['The exhibitions', 'with the youths', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the youths', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the youth', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the youths', 'of the children', 'were very successful', '.']	['The exhibitions', 'with the youths', 'and the children', 'were very successful', '.']	['The exhibitions', 'with the youths', 'of the child', 'of the schools', 'were very successful', '.']
16196	The government announced that the efforts with the paintings were very successful .	My visitors observed that the girlfriend of the owners is sleeping on the beach .	The minister informed me that the conferences on the history started later than planned .	The students announced that the manager of the right has resigned .	The colleagues saw that the windows on the balconies of the bosses block the door .	My parents heard that the dog on the pillows of the babies falls asleep .	Mary says that the cards with the key of the cells are on the shelf .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The government announced that', 'the efforts', 'with the paintings', '', 'were very successful', '.']	['My visitors observed that', 'the girlfriend', 'of the owners', '', 'is sleeping on the beach', '.']	['The minister informed me that', 'the conferences', 'on the history', '', 'started later than planned', '.']	['The students announced that', 'the manager', 'of the right', '', 'has resigned', '.']	['The colleagues saw that', 'the windows', 'on the balconies', 'of the bosses', 'block the door', '.']	['My parents heard that', 'the dog', 'on the pillows', 'of the babies', 'falls asleep', '.']	['Mary says that', 'the cards', 'with the key', 'of the cells', 'are on the shelf', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the pets in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the pets', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16	The plane for the flight has crashed .	The victims of the violence have filed a complaint .	The exhibition with the citys was very successful .	The wifes of my cousins look like actors .	The project with the painting of the child was very successful .	The leaflets on the subject in the community were of great interest .	The pig of the couples in the field is wallowing in the pond .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The plane', 'for the flight', '', 'has crashed', '.']	['The victims', 'of the violence', '', 'have filed a complaint', '.']	['The exhibition', 'with the citys', '', 'was very successful', '.']	['The wifes', 'of my cousins', '', 'look like actors', '.']	['The project', 'with the painting', 'of the child', 'was very successful', '.']	['The leaflets', 'on the subject', 'in the community', 'were of great interest', '.']	['The pig', 'of the couples', 'in the field', 'is wallowing in the pond', '.']	The exhibitions with the publics of the child were very successful .	The exhibitions with the publics of the children was very successful .	The exhibitions with the publics of the child was very successful .	The exhibitions with the publics of the child was very successful .	The exhibitions with the public of the child were very successful .	The exhibitions with the publics of the children were very successful .	The exhibitions with the publics and the children were very successful .	The exhibitions with the publics of the child of the schools were very successful .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The exhibitions', 'with the publics', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the publics', 'of the children', 'was very successful', '.']	['The exhibitions', 'with the publics', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the publics', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the public', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the publics', 'of the children', 'were very successful', '.']	['The exhibitions', 'with the publics', 'and the children', 'were very successful', '.']	['The exhibitions', 'with the publics', 'of the child', 'of the schools', 'were very successful', '.']
16198	My friends think that the professors of my cousins look like actors .	The owners found that the thief of the cars has crashed .	The breeders said that the pigs of the worker are wallowing in the pond .	The organizer surprised me that the conference on the history started later than planned .	The colleagues saw that the strikers on the windows of the bosses block the door .	The author reported that the study on the effects of the drugs will be published soon .	The article reported that the theories on the song of the canaries divide the researchers .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['My friends think that', 'the professors', 'of my cousins', '', 'look like actors', '.']	['The owners found that', 'the thief', 'of the cars', '', 'has crashed', '.']	['The breeders said that', 'the pigs', 'of the worker', '', 'are wallowing in the pond', '.']	['The organizer surprised me that', 'the conference', 'on the history', '', 'started later than planned', '.']	['The colleagues saw that', 'the strikers', 'on the windows', 'of the bosses', 'block the door', '.']	['The author reported that', 'the study', 'on the effects', 'of the drugs', 'will be published soon', '.']	['The article reported that', 'the theories', 'on the song', 'of the canaries', 'divide the researchers', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the animals in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the animals', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16189	The authorities found that the thieves of the cars have crashed .	My friends say that the professor of my kids looks like an actor .	My parents mentioned that the dogs on the pillow fall asleep .	My friend said that the party in the apartment bothers the guests .	The students learned that the managers of the police of the immigrants have resigned .	The prince realized that the architect of the castles of the millionaires has lost the plans .	The neighbors hoped that the parents of the parrot in the trees are coming .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The authorities found that', 'the thieves', 'of the cars', '', 'have crashed', '.']	['My friends say that', 'the professor', 'of my cousins', '', 'looks like an actor', '.']	['My parents mentioned that', 'the dogs', 'on the pillow', '', 'fall asleep', '.']	['My friend said that', 'the party', 'in the apartment', '', 'bothers the neighbors', '.']	['The students learned that', 'the managers', 'of the police', 'of the immigrants', 'have resigned', '.']	['The prince realized that', 'the architect', 'of the castles', 'of the millionaires', 'has lost the plans', '.']	['The neighbors hoped that', 'the parents', 'of the parrot', 'in the trees', 'are coming', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrots in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
4	The man of the parrot is coming .	The pictures on the door angered her mother .	The architect of the citys has lost the plans .	The subjects of the lies have filed a complaint .	The project with the painting of the child was very successful .	The strikers on the fence of the boss block the door .	The girlfriend of the boys of the villa is sleeping on the beach .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The owner', 'of the parrot', '', 'is coming', '.']	['The pictures', 'on the door', '', 'angered her mother', '.']	['The architect', 'of the citys', '', 'has lost the plans', '.']	['The subjects', 'of the lies', '', 'have filed a complaint', '.']	['The project', 'with the painting', 'of the child', 'was very successful', '.']	['The strikers', 'on the fence', 'of the boss', 'block the door', '.']	['The girlfriend', 'of the owners', 'of the villa', 'is sleeping on the beach', '.']	The contracts with the programs of the experiment are broken .	The contracts with the programs of the experiments is broken .	The contracts with the programs of the experiment is broken .	The contracts with the programs of the experiment is broken .	The contracts with the program of the experiment are broken .	The contracts with the programs of the experiments are broken .	The contracts with the programs and the experiments are broken .	The contracts with the programs of the experiment of the students are broken .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The contracts', 'with the programs', 'of the experiment', 'are broken', '.']	['The contracts', 'with the programs', 'of the experiments', 'is broken', '.']	['The contracts', 'with the programs', 'of the experiment', 'is broken', '.']	['The contracts', 'with the programs', 'of the experiment', 'is broken', '.']	['The contracts', 'with the program', 'of the experiment', 'are broken', '.']	['The contracts', 'with the programs', 'of the experiments', 'are broken', '.']	['The contracts', 'with the programs', 'and the experiments', 'are broken', '.']	['The contracts', 'with the programs', 'of the experiment', 'of the students', 'are broken', '.']
16173	The prosecutors think that the lawyers of the plates have returned .	My doctor said that the line on the sides has disappeared .	The prosecutors think that the lawyers of the thief have returned .	My cousins observed that the girlfriend of the owner is sleeping on the beach .	My cousins said that the girlfriends of the owners of the villas are sleeping on the beach .	The prosecutors think that the lawyer of the plates from the villages has returned .	The editor realized that the books on the privatization of the companies excited the public .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The prosecutors think that', 'the lawyers', 'of the thieves', '', 'have returned', '.']	['My doctor said that', 'the line', 'on the sides', '', 'has disappeared', '.']	['The prosecutors think that', 'the lawyers', 'of the thief', '', 'have returned', '.']	['My cousins observed that', 'the girlfriend', 'of the owner', '', 'is sleeping on the beach', '.']	['My cousins said that', 'the girlfriends', 'of the owners', 'of the villas', 'are sleeping on the beach', '.']	['The prosecutors think that', 'the lawyer', 'of the plates', 'from the villages', 'has returned', '.']	['The editor realized that', 'the books', 'on the privatization', 'of the companies', 'excited the public', '.']	The colleagues know that the trainer of the winner of the games is getting a big raise .	The colleagues know that the trainer of the winner of the game are getting a big raise .	The colleagues know that the trainer of the winner of the games are getting a big raise .	The colleagues know that the trainer of the winner of the games are getting a big raise .	The colleagues know that the trainer of the days of the games is getting a big raise .	The colleagues know that the trainer of the winner of the game is getting a big raise .	The colleagues know that the trainer of the winner and the game is getting a big raise .	The colleagues know that the trainer of the winner of the games in the tournament is getting a big raise .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The colleagues know that', 'the trainer', 'of the winner', 'of the games', 'is getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'of the game', 'are getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'of the games', 'are getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'of the games', 'are getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the days', 'of the games', 'is getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'of the game', 'is getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'and the game', 'is getting a big raise', '.']	['The colleagues know that', 'the trainer', 'of the winner', 'of the games', 'in the tournament', 'is getting a big raise', '.']
