	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
0	La scritta sul tavolo brilla al sole .	Le tovaglie sul tavolo brillano al sole .	Il racconto delle sofferenze commuove i partecipanti .	I gatti sui tetti miagolano da ieri sera .	Lo scioperante sulla scale del padrone bloccava la faccia .	I cani sul cuscino del neonato si sono addormentati .	La mostra coi disegni del bambino ha avuto molto successo .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La scritta', 'sul tavolo', '', 'brilla al sole', '.']	['Le tovaglie', 'sul tavolo', '', 'brillano al sole', '.']	['Il racconto', 'delle sofferenze', '', 'commuove i partecipanti', '.']	['I gatti', 'sui tetti', '', 'miagolano da ieri sera', '.']	['Lo scioperante', 'sulla scale', 'del padrone', 'bloccava la porta', '.']	['I cani', 'sul cuscino', 'del neonato', 'si sono addormentati', '.']	['La mostra', 'coi disegni', 'del bambino', 'ha avuto molto successo', '.']	I dispositivo coi programmi dell' esperimento non funzionano .	I dispositivo coi programmi degli esperimenti non funziona .	I dispositivo coi programmi dell' esperimento non funziona .	I dispositivo coi programmi dell' esperimento non funziona .	I dispositivo col programma dell' esperimento non funzionano .	I dispositivo coi programmi degli esperimenti non funzionano .	I dispositivo coi programmi e gli esperimenti non funzionano .	I dispositivo coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I dispositivo', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I dispositivo', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I dispositivo', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I dispositivo', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
1	Il corso sul tema ha molto interessato .	I bambini del padre piangono .	Il dirigente dei diritti darà le dimissioni .	Le mostre coi disegni hanno avuto molto successo .	Lo spot sull' effetto della droga apparirà presto .	Gli avvocati dell' delinquente del villaggio ritorneranno .	La malcapitato delle menzogne del poliziotto ha fatto causa .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il corso', 'sul tema', '', 'ha molto interessato', '.']	['I bambini', 'del padre', '', 'piangono', '.']	['Il dirigente', 'dei diritti', '', 'darà le dimissioni', '.']	['Le mostre', 'coi disegni', '', 'hanno avuto molto successo', '.']	"['Lo spot', ""sull' effetto"", 'della droga', 'apparirà presto', '.']"	"['Gli avvocati', ""dell' delinquente"", 'del villaggio', 'ritorneranno', '.']"	['La malcapitato', 'delle menzogne', 'del poliziotto', 'ha fatto causa', '.']	I sistema coi programmi dell' esperimento non funzionano .	I sistema coi programmi degli esperimenti non funziona .	I sistema coi programmi dell' esperimento non funziona .	I sistema coi programmi dell' esperimento non funziona .	I sistema col programma dell' esperimento non funzionano .	I sistema coi programmi degli esperimenti non funzionano .	I sistema coi programmi e gli esperimenti non funzionano .	I sistema coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I sistema', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I sistema', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I sistema', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I sistema', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I sistema', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
2	La lettera sulla porta ha irritato sua mamma .	I professori di mio cugino assomigliano a delle star .	La teoria sui canti divide i ricercatori .	Gli allenatori dei vincitori ricevettero una grossa ricompensa .	Il biglietto con la chiave della cella si trova sullo scaffale .	I gatti sul muro del vicino miagolano da ieri sera .	La visita ai palazzi dell' artigianato si avvicina .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La lettera', 'sulla porta', '', 'ha irritato sua mamma', '.']	['I professori', 'di mio cugino', '', 'assomigliano a delle star', '.']	['La teoria', 'sui canti', '', 'divide i ricercatori', '.']	['Gli allenatori', 'dei vincitori', '', 'ricevettero una grossa ricompensa', '.']	['Il biglietto', 'con la chiave', 'della cella', 'si trova sullo scaffale', '.']	['I gatti', 'sul muro', 'del vicino', 'miagolano da ieri sera', '.']	"['La visita', 'ai palazzi', ""dell' artigianato"", 'si avvicina', '.']"	I elaboratore coi programmi dell' esperimento non funzionano .	I elaboratore coi programmi degli esperimenti non funziona .	I elaboratore coi programmi dell' esperimento non funziona .	I elaboratore coi programmi dell' esperimento non funziona .	I elaboratore col programma dell' esperimento non funzionano .	I elaboratore coi programmi degli esperimenti non funzionano .	I elaboratore coi programmi e gli esperimenti non funzionano .	I elaboratore coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I elaboratore', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I elaboratore', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I elaboratore', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I elaboratore', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
3	Lo studio sull' incidenza apparirà presto .	I computer col sangue non funzionano .	La mostra coi disegni ha avuto molto successo .	Le mostre coi disegni hanno avuto molto successo .	L’ designer del castello del milionario ha perso l' appalto .	Le minacce della riforma nella scuola inquietano i medici .	Il costruttore dei film sull’ artista ha vinto la palma d’ oro .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	"['Lo studio', ""sull' incidenza"", '', 'apparirà presto', '.']"	['I computer', 'col sangue', '', 'non funzionano', '.']	['La mostra', 'coi disegni', '', 'ha avuto molto successo', '.']	['Le mostre', 'coi disegni', '', 'hanno avuto molto successo', '.']	"['L’ designer', 'del castello', 'del milionario', ""ha perso l' appalto"", '.']"	['Le minacce', 'della riforma', 'nella scuola', 'inquietano i medici', '.']	['Il costruttore', 'dei film', 'sull’ artista', 'ha vinto la palma d’ oro', '.']	I macchina coi programmi dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funzionano .	I macchina coi programmi e gli esperimenti non funzionano .	I macchina coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I macchina', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
4	Lo scioperante sulla strade bloccava la porta .	I mazzi con la chiave si trovano sullo scaffale .	Il cane sui cuscini si è addormentato .	Le scritte sulle porte hanno irritato sua mamma .	La stampa sulla porta della camera ha irritato sua mamma .	Le scritte sulla faccia della camera hanno irritato sua mamma .	La visita ai palazzi dell' artigianato si avvicina .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Lo scioperante', 'sulla strade', '', 'bloccava la porta', '.']	['I mazzi', 'con la chiave', '', 'si trovano sullo scaffale', '.']	['Il cane', 'sui cuscini', '', 'si è addormentato', '.']	['Le scritte', 'sulle porte', '', 'hanno irritato sua mamma', '.']	['La stampa', 'sulla porta', 'della camera', 'ha irritato sua mamma', '.']	['Le scritte', 'sulla faccia', 'della camera', 'hanno irritato sua mamma', '.']	"['La visita', 'ai palazzi', ""dell' artigianato"", 'si avvicina', '.']"	I macchina coi programmi dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funzionano .	I macchina coi programmi e gli esperimenti non funzionano .	I macchina coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I macchina', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
5	La mostra sulla storia è cominciata più tardi del previsto .	Le righe al bordo scomparvero .	Il post sui temi ha molto interessato .	I computer coi programmi non funzionano .	Il bimbo del senzatetto vicino alla spazzatura piange .	Gli architetti del rocca del milionario hanno perso l' appalto .	Il padrone dei pappagalli sull' albero arriverà .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La mostra', 'sulla storia', '', 'è cominciata più tardi del previsto', '.']	['Le righe', 'al bordo', '', 'scomparvero', '.']	['Il post', 'sui temi', '', 'ha molto interessato', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	['Il bimbo', 'del senzatetto', 'vicino alla spazzatura', 'piange', '.']	"['Gli architetti', 'del rocca', 'del milionario', ""hanno perso l' appalto"", '.']"	"['Il padrone', 'dei pappagalli', ""sull' albero"", 'arriverà', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
6	L’ accompagnatrice del disco suonava in modo meraviglioso .	Le conferenze sulla questione sono cominciate più tardi del previsto .	La presenza negli appartamenti ha disturbato i vicini .	Gli avvocati degli assassini ritorneranno .	L’ architetto del rocca del milionario ha perso l' appalto .	I libri sulla privatizzazione della ditta hanno entusiasmato la sala .	Il libro sulle privatizzazioni della ditta ha entusiasmato la sala .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['L’ accompagnatrice', 'del disco', '', 'suonava in modo meraviglioso', '.']	['Le conferenze', 'sulla questione', '', 'sono cominciate più tardi del previsto', '.']	['La presenza', 'negli appartamenti', '', 'ha disturbato i vicini', '.']	['Gli avvocati', 'degli assassini', '', 'ritorneranno', '.']	"['L’ architetto', 'del rocca', 'del milionario', ""ha perso l' appalto"", '.']"	['I libri', 'sulla privatizzazione', 'della ditta', 'hanno entusiasmato la sala', '.']	['Il libro', 'sulle privatizzazioni', 'della ditta', 'ha entusiasmato la sala', '.']	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
7	Il professore di mio amico assomiglia a una star .	Le scritte sulla testa hanno irritato sua mamma .	Il ladro delle macchine ha sterzato bruscamente .	I gatti sui tetti miagolano da ieri sera .	La tovaglia sul muro del pranzo brilla al sole .	I libri sulla privatizzazione della ditta hanno entusiasmato la sala .	La vittoria sui canti del canarino divide i ricercatori .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il professore', 'di mio amico', '', 'assomiglia a una star', '.']	['Le scritte', 'sulla testa', '', 'hanno irritato sua mamma', '.']	['Il ladro', 'delle macchine', '', 'ha sterzato bruscamente', '.']	['I gatti', 'sui tetti', '', 'miagolano da ieri sera', '.']	['La tovaglia', 'sul muro', 'del pranzo', 'brilla al sole', '.']	['I libri', 'sulla privatizzazione', 'della ditta', 'hanno entusiasmato la sala', '.']	['La vittoria', 'sui canti', 'del canarino', 'divide i ricercatori', '.']	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col software dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col software', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
8	La scritta sulla testa ha irritato sua mamma .	Le serate nell' abitazione hanno disturbato i vicini .	Il bambino dei mondo piange .	I produttori dei video hanno vinto la palma d' oro .	Il capo del diritto dell' immigrato darà le dimissioni .	I libri sulla vendita della ditta hanno entusiasmato la sala .	La fila ai bordi della strada scomparve .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La scritta', 'sulla testa', '', 'ha irritato sua mamma', '.']	"['Le serate', ""nell' abitazione"", '', 'hanno disturbato i vicini', '.']"	['Il bambino', 'dei mondo', '', 'piange', '.']	"['I produttori', 'dei video', '', ""hanno vinto la palma d' oro"", '.']"	"['Il capo', 'del diritto', ""dell' immigrato"", 'darà le dimissioni', '.']"	['I libri', 'sulla vendita', 'della ditta', 'hanno entusiasmato la sala', '.']	['La fila', 'ai bordi', 'della strada', 'scomparve', '.']	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
9	Il bambino del mare piange .	Le conferenze sulla stampa sono cominciate più tardi del previsto .	Lo scioperante sulle gradini bloccava la porta .	Gli avvocati degli assassini ritorneranno .	La violenza sul canto del canarino divide i ricercatori .	Le compagne del proprietario della villa dormivano sulla spiaggia .	La conferenza sulle storie della guerra è cominciata più tardi del previsto .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il bambino', 'del mare', '', 'piange', '.']	['Le conferenze', 'sulla stampa', '', 'sono cominciate più tardi del previsto', '.']	['Lo scioperante', 'sulle gradini', '', 'bloccava la porta', '.']	['Gli avvocati', 'degli assassini', '', 'ritorneranno', '.']	['La violenza', 'sul canto', 'del canarino', 'divide i ricercatori', '.']	['Le compagne', 'del proprietario', 'della villa', 'dormivano sulla spiaggia', '.']	['La conferenza', 'sulle storie', 'della guerra', 'è cominciata più tardi del previsto', '.']	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col computer dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col computer', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
