	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
0	Ecoul asupra efectului va apare curând .	Antrenorii sportivului vor primi o recompensă .	Lumina de pe uși a supărat- o pe mama ei .	Inscripțiile de pe uși au supărat- o pe mama ei .	Conferința despre istoria razboiului a început mai târziu decat era prevăzut .	Conferințele despre istoria razboiului au inceput mai tarziu decat era prevazut .	Descrierea evenimentelor din spital a impresionat jurnaliștii .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['ecoul', 'asupra efectului', '', 'va apare curând', '.']	['Antrenorii', 'sportivului', '', 'vor primi o recompensă', '.']	['lumina', 'de pe uși', '', 'a supărat- o pe mama ei', '.']	['Inscripțiile', 'de pe uși', '', 'au supărat- o pe mama ei', '.']	['Conferința', 'despre istoria', 'razboiului', 'a început mai târziu decat era prevăzut', '.']	['Conferințele', 'despre istoria', 'razboiului', 'au inceput mai tarziu decat era prevazut', '.']	['Descrierea', 'evenimentelor', 'din spital', 'a impresionat jurnaliștii', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
1	Serata din apartament a deranjat vecinii .	Posesorii papagalului vor veni .	Prietena proprietarilor a adormit pe plajă .	Hoții mașinilor au făcut un accident .	Soțul de pe perna copilului a adormit .	Inscripțiile de pe ușa camerei au supărat- o pe mama ei .	Serata din clubele de la subsol a deranjat vecinii .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['serata', 'din apartament', '', 'a deranjat vecinii', '.']	['Posesorii', 'papagalului', '', 'vor veni', '.']	['Prietena', 'proprietarilor', '', 'a adormit pe plajă', '.']	['Hoții', 'mașinilor', '', 'au făcut un accident', '.']	['soțul', 'de pe perna', 'copilului', 'a adormit', '.']	['Inscripțiile', 'de pe ușa', 'camerei', 'au supărat- o pe mama ei', '.']	['Serata', 'din clubele', 'de la subsol', 'a deranjat vecinii', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
2	Profesorul mamei meu este o celebritate .	Indicatoarele de la gară au dispărut .	Pagina despre privatizări a entuziasmat publicul .	Victimele asalturilor au făcut reclamație .	Avizul asupra efectului drogului va apare curând .	Calculatoarele cu programul experimentului sunt defecte .	Trenul pentru zborurile deasupra canionului s- a prăbușit .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Profesorul', 'mamei meu', '', 'este o celebritate', '.']	['Indicatoarele', 'de la gară', '', 'au dispărut', '.']	['pagina', 'despre privatizări', '', 'a entuziasmat publicul', '.']	['Victimele', 'asalturilor', '', 'au făcut reclamație', '.']	['avizul', 'asupra efectului', 'drogului', 'va apare curând', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['trenul', 'pentru zborurile', 'deasupra canionului', 's- a prăbușit', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
3	Șervețelul de pe podea strălucește în lumină .	Producătorii de sunet au câștigat premiul .	Elicopterul pentru spitaluri s- a prăbușit .	Carțile despre privatizări au entuziasmat publicul .	Studiul asupra cărții drogului va apare curând .	Expozițiile cu pictura artistului au avut mare succes .	Satul de la marginile drumului a dispărut .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Șervețelul', 'de pe podea', '', 'strălucește în lumină', '.']	['Producătorii', 'de sunet', '', 'au câștigat premiul', '.']	['Elicopterul', 'pentru spitaluri', '', 's- a prăbușit', '.']	['Carțile', 'despre privatizări', '', 'au entuziasmat publicul', '.']	['Studiul', 'asupra cărții', 'drogului', 'va apare curând', '.']	['Expozițiile', 'cu pictura', 'artistului', 'au avut mare succes', '.']	['satul', 'de la marginile', 'drumului', 'a dispărut', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
4	Copacul din mijloc a înflorit .	Calculatoarele cu cablu sunt defecte .	Elicopterul pentru zboruri s- a prăbușit .	Indicatoarele de la margini au dispărut .	Fata proprietarului casei a adormit pe plajă .	Expozițiile cu pictura artistului au avut mare succes .	Broșura despre problemele comunitatii a fost de mare interes .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Copacul', 'din mijloc', '', 'a înflorit', '.']	['Calculatoarele', 'cu cablu', '', 'sunt defecte', '.']	['Elicopterul', 'pentru zboruri', '', 's- a prăbușit', '.']	['Indicatoarele', 'de la margini', '', 'au dispărut', '.']	['fata', 'proprietarului', 'casei', 'a adormit pe plajă', '.']	['Expozițiile', 'cu pictura', 'artistului', 'au avut mare succes', '.']	['Broșura', 'despre problemele', 'comunitatii', 'a fost de mare interes', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
5	Expoziția cu pictură a avut mare succes .	Teoriile despre potop sunt respinse de comisie .	Hanul de la margini a dispărut .	Descrierile evenimentelor au impresionat jurnaliștii .	Victima articolului polițistului a făcut reclamație .	Hoții fetei mecanicului au făcut un accident .	Șeful de pe scările clădirii a blocat intrarea .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Expoziția', 'cu pictură', '', 'a avut mare succes', '.']	['Teoriile', 'despre potop', '', 'sunt respinse de comisie', '.']	['hanul', 'de la margini', '', 'a dispărut', '.']	['Descrierile', 'evenimentelor', '', 'au impresionat jurnaliștii', '.']	['Victima', 'articolului', 'polițistului', 'a făcut reclamație', '.']	['Hoții', 'fetei', 'mecanicului', 'au făcut un accident', '.']	['șeful', 'de pe scările', 'clădirii', 'a blocat intrarea', '.']	Calculatoarele cu programele experimentului sunt defecte .	Calculatoarele cu programele experimentelor este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programele experimentului este defect .	Calculatoarele cu programul experimentului sunt defecte .	Calculatoarele cu programele experimentelor sunt defecte .	Calculatoarele cu programele și experimentele sunt defecte .	Calculatoarele cu programele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu programele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu programul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu programele', 'experimentului', 'studentilor', 'sunt defecte', '.']
6	Cursul despre reformă neliniștește doctorii .	Inscripțiile de pe ușă au supărat- o pe mama ei .	Blocul pentru zboruri s- a prăbușit .	Avocații infractorilor vor reveni .	Grevistul de pe scara clădirii a blocat intrarea .	Victimele asaltului polițistului au făcut reclamație .	Posesorul papagalilor din copac va veni .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['cursul', 'despre reformă', '', 'neliniștește doctorii', '.']	['Inscripțiile', 'de pe ușă', '', 'au supărat- o pe mama ei', '.']	['blocul', 'pentru zboruri', '', 's- a prăbușit', '.']	['Avocații', 'infractorilor', '', 'vor reveni', '.']	['Grevistul', 'de pe scara', 'clădirii', 'a blocat intrarea', '.']	['Victimele', 'asaltului', 'polițistului', 'au făcut reclamație', '.']	['posesorul', 'papagalilor', 'din copac', 'va veni', '.']	Calculatoarele cu cabluele experimentului sunt defecte .	Calculatoarele cu cabluele experimentelor este defect .	Calculatoarele cu cabluele experimentului este defect .	Calculatoarele cu cabluele experimentului este defect .	Calculatoarele cu cabluul experimentului sunt defecte .	Calculatoarele cu cabluele experimentelor sunt defecte .	Calculatoarele cu cabluele și experimentele sunt defecte .	Calculatoarele cu cabluele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu cabluele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu cabluul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu cabluele', 'experimentului', 'studentilor', 'sunt defecte', '.']
7	Arhitectul orașului a pierdut planurile .	Pisicile de pe acoperiș fac zgomot de ieri seară .	Grevistul de pe scări a blocat intrarea .	Expozițiile cu picturi au avut mare succes .	Zăpada de pe acoperișul vecinului face zgomot de ieri seară .	Posesorii ușii din copac vor veni .	Inscripția de pe ușile camerei a supărat- o pe mama ei .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Arhitectul', 'orașului', '', 'a pierdut planurile', '.']	['Pisicile', 'de pe acoperiș', '', 'fac zgomot de ieri seară', '.']	['Grevistul', 'de pe scări', '', 'a blocat intrarea', '.']	['Expozițiile', 'cu picturi', '', 'au avut mare succes', '.']	['zăpada', 'de pe acoperișul', 'vecinului', 'face zgomot de ieri seară', '.']	['Posesorii', 'ușii', 'din copac', 'vor veni', '.']	['Inscripția', 'de pe ușile', 'camerei', 'a supărat- o pe mama ei', '.']	Calculatoarele cu firele experimentului sunt defecte .	Calculatoarele cu firele experimentelor este defect .	Calculatoarele cu firele experimentului este defect .	Calculatoarele cu firele experimentului este defect .	Calculatoarele cu firul experimentului sunt defecte .	Calculatoarele cu firele experimentelor sunt defecte .	Calculatoarele cu firele și experimentele sunt defecte .	Calculatoarele cu firele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu firele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu firul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu firele', 'experimentului', 'studentilor', 'sunt defecte', '.']
8	Elicopterul pentru zbor s- a prăbholurit .	Avocații fetei vor reveni .	Brelocul cu chei este pe raft .	Brelocurile cu chei sunt pe raft .	Posesorul papagalului din copac va veni .	Brelocurile cu monedea dulapului sunt pe raft .	Hoțul mașinilor mecanicului a făcut un accident .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['Elicopterul', 'pentru zbor', '', 's- a prăbușit', '.']	['Avocații', 'fetei', '', 'vor reveni', '.']	['Brelocul', 'cu chei', '', 'este pe raft', '.']	['Brelocurile', 'cu chei', '', 'sunt pe raft', '.']	['Posesorul', 'papagalului', 'din copac', 'va veni', '.']	['Brelocurile', 'cu monedea', 'dulapului', 'sunt pe raft', '.']	['hoțul', 'mașinilor', 'mecanicului', 'a făcut un accident', '.']	Calculatoarele cu linuxele experimentului sunt defecte .	Calculatoarele cu linuxele experimentelor este defect .	Calculatoarele cu linuxele experimentului este defect .	Calculatoarele cu linuxele experimentului este defect .	Calculatoarele cu linuxul experimentului sunt defecte .	Calculatoarele cu linuxele experimentelor sunt defecte .	Calculatoarele cu linuxele și experimentele sunt defecte .	Calculatoarele cu linuxele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu linuxele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu linuxul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu linuxele', 'experimentului', 'studentilor', 'sunt defecte', '.']
9	Soțul vilei a pierdut planurile .	Calculatoarele cu radio sunt defecte .	Elicopterul pentru copiluri s- a prăbușit .	Responsabilii pentru protecții vor demisiona .	Elicopterul pentru ajutorul deasupra canionului s- a prăbușit .	Greviștii de pe scara clădirii au blocat intrarea .	Câinele de pe pernele copilului a adormit .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1art_sg P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_sg P1art_pl P2_sg V_sg	['soțul', 'vilei', '', 'a pierdut planurile', '.']	['Calculatoarele', 'cu radio', '', 'sunt defecte', '.']	['Elicopterul', 'pentru copiluri', '', 's- a prăbușit', '.']	['Responsabilii', 'pentru protecții', '', 'vor demisiona', '.']	['Elicopterul', 'pentru ajutorul', 'deasupra canionului', 's- a prăbușit', '.']	['Greviștii', 'de pe scara', 'clădirii', 'au blocat intrarea', '.']	['Câinele', 'de pe pernele', 'copilului', 'a adormit', '.']	Calculatoarele cu radioele experimentului sunt defecte .	Calculatoarele cu radioele experimentelor este defect .	Calculatoarele cu radioele experimentului este defect .	Calculatoarele cu radioele experimentului este defect .	Calculatoarele cu radioul experimentului sunt defecte .	Calculatoarele cu radioele experimentelor sunt defecte .	Calculatoarele cu radioele și experimentele sunt defecte .	Calculatoarele cu radioele experimentului studentilor sunt defecte .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1art_pl P2_sg V_pl	Subj_pl P1art_pl P2_pl V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_pl P2_sg V_sg	Subj_pl P1art_sg P2_sg V_pl	Subj_pl P1art_pl P2_pl V_pl	Subj_pl P1art_pl Conj2_pl V_pl	Subj_pl P1art_pl P2_sg P3_pl V_pl	['Calculatoarele', 'cu radioele', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentelor', 'este defect', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'este defect', '.']	['Calculatoarele', 'cu radioul', 'experimentului', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentelor', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'și experimentele', 'sunt defecte', '.']	['Calculatoarele', 'cu radioele', 'experimentului', 'studentilor', 'sunt defecte', '.']
