Unnamed: 0	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
16023	The men of the parrots that the neighbors like are coming .	The owner of the parrots that the neighbors like is coming .	The kids of the parrot that the neighbors like are coming .	The owner of the parrot that the neighbors like is coming .	The guys of the parrots in the trees that the neighbors like are coming .	The owner of the parrots in the trees that the neighbors like is coming .	The visitors of the parrot in the trees that the neighbors like are coming .	Subj_pl P1_pl P2_None ROC_pl V_pl	Subj_sg P1_pl P2_None ROC_sg V_sg	Subj_pl P1_sg P2_None ROC_pl V_pl	Subj_sg P1_sg P2_None ROC_sg V_sg	Subj_pl P1_pl P2_pl ROC_pl V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_pl P1_sg P2_pl ROC_pl V_pl	['The owners', 'of the parrots', '', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrots', '', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the parrot', '', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', '', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the parrots', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrots', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	The owner of the parrot in the trees that the neighbors like is coming .	The owner of the parrot in the tree that the neighbors like are coming .	The owner of the parrot in the trees that the neighbors like are coming .	The owner of the parrot in the trees that the neighbors like are coming .	The owner of the parrots in the trees that the neighbors like is coming .	The owner of the parrot in the tree that the neighbors like is coming .	The owner of the parrot and the tree that the neighbors like is coming .	The owner of the parrot in the trees in the garden that the neighbors like is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_sg P1_sg P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_sg	Subj_sg P1_sg Conj2_sg ROC_sg V_sg	Subj_sg P1_sg P2_pl P3_sg ROC_sg V_sg	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrots', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'and the tree', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the trees', 'in the garden', 'that the neighbors like', 'is coming', '.']
12	The work with the painting was very successful .	The processs with the painting were very successful .	The campaign with the paintings was very successful .	The projects with the paintings were very successful .	The event with the painting of the child was very successful .	The operations with the painting of the child were very successful .	The deal with the paintings of the child was very successful .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The work', 'with the painting', '', 'was very successful', '.']	['The processs', 'with the painting', '', 'were very successful', '.']	['The campaign', 'with the paintings', '', 'was very successful', '.']	['The projects', 'with the paintings', '', 'were very successful', '.']	['The event', 'with the painting', 'of the child', 'was very successful', '.']	['The operations', 'with the painting', 'of the child', 'were very successful', '.']	['The deal', 'with the paintings', 'of the child', 'was very successful', '.']	The campaigns with the paintings of the child were very successful .	The campaigns with the paintings of the children was very successful .	The campaigns with the paintings of the child was very successful .	The campaigns with the paintings of the child was very successful .	The campaigns with the painting of the child were very successful .	The campaigns with the paintings of the children were very successful .	The campaigns with the paintings and the children were very successful .	The campaigns with the paintings of the child of the schools were very successful .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The campaigns', 'with the paintings', 'of the child', 'were very successful', '.']	['The campaigns', 'with the paintings', 'of the children', 'was very successful', '.']	['The campaigns', 'with the paintings', 'of the child', 'was very successful', '.']	['The campaigns', 'with the paintings', 'of the child', 'was very successful', '.']	['The campaigns', 'with the painting', 'of the child', 'were very successful', '.']	['The campaigns', 'with the paintings', 'of the children', 'were very successful', '.']	['The campaigns', 'with the paintings', 'and the children', 'were very successful', '.']	['The campaigns', 'with the paintings', 'of the child', 'of the schools', 'were very successful', '.']
18	The exhibition with the public was very successful .	The exhibitions with the audience were very successful .	The exhibition with the citys was very successful .	The exhibitions with the communitys were very successful .	The exhibition with the youth of the child was very successful .	The exhibitions with the country of the child were very successful .	The exhibition with the museums of the child was very successful .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The exhibition', 'with the public', '', 'was very successful', '.']	['The exhibitions', 'with the audience', '', 'were very successful', '.']	['The exhibition', 'with the citys', '', 'was very successful', '.']	['The exhibitions', 'with the communitys', '', 'were very successful', '.']	['The exhibition', 'with the youth', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the country', 'of the child', 'were very successful', '.']	['The exhibition', 'with the museums', 'of the child', 'was very successful', '.']	The exhibitions with the audiences of the child were very successful .	The exhibitions with the audiences of the children was very successful .	The exhibitions with the audiences of the child was very successful .	The exhibitions with the audiences of the child was very successful .	The exhibitions with the audience of the child were very successful .	The exhibitions with the audiences of the children were very successful .	The exhibitions with the audiences and the children were very successful .	The exhibitions with the audiences of the child of the schools were very successful .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The exhibitions', 'with the audiences', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the audiences', 'of the children', 'was very successful', '.']	['The exhibitions', 'with the audiences', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the audiences', 'of the child', 'was very successful', '.']	['The exhibitions', 'with the audience', 'of the child', 'were very successful', '.']	['The exhibitions', 'with the audiences', 'of the children', 'were very successful', '.']	['The exhibitions', 'with the audiences', 'and the children', 'were very successful', '.']	['The exhibitions', 'with the audiences', 'of the child', 'of the schools', 'were very successful', '.']
1	The deal with the program is broken .	The contracts with the program are broken .	The link with the programs is broken .	The systems with the programs are broken .	The problem with the program of the experiment is broken .	The interfaces with the program of the experiment are broken .	The issue with the programs of the experiment is broken .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The deal', 'with the program', '', 'is broken', '.']	['The contracts', 'with the program', '', 'are broken', '.']	['The link', 'with the programs', '', 'is broken', '.']	['The systems', 'with the programs', '', 'are broken', '.']	['The problem', 'with the program', 'of the experiment', 'is broken', '.']	['The interfaces', 'with the program', 'of the experiment', 'are broken', '.']	['The issue', 'with the programs', 'of the experiment', 'is broken', '.']	The deals with the programs of the experiment are broken .	The deals with the programs of the experiments is broken .	The deals with the programs of the experiment is broken .	The deals with the programs of the experiment is broken .	The deals with the program of the experiment are broken .	The deals with the programs of the experiments are broken .	The deals with the programs and the experiments are broken .	The deals with the programs of the experiment of the students are broken .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The deals', 'with the programs', 'of the experiment', 'are broken', '.']	['The deals', 'with the programs', 'of the experiments', 'is broken', '.']	['The deals', 'with the programs', 'of the experiment', 'is broken', '.']	['The deals', 'with the programs', 'of the experiment', 'is broken', '.']	['The deals', 'with the program', 'of the experiment', 'are broken', '.']	['The deals', 'with the programs', 'of the experiments', 'are broken', '.']	['The deals', 'with the programs', 'and the experiments', 'are broken', '.']	['The deals', 'with the programs', 'of the experiment', 'of the students', 'are broken', '.']
16186	The neighbors hoped that the kids of the parrots are coming .	The neighbors hoped that the owner of the parrots is coming .	The neighbors hoped that the men of the parrot are coming .	The neighbors hoped that the owner of the parrot is coming .	The neighbors hoped that the parents of the parrots in the trees are coming .	The neighbors hoped that the owner of the parrots in the trees is coming .	The neighbors hoped that the visitors of the parrot in the trees are coming .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The neighbors hoped that', 'the kids', 'of the parrots', '', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', '', 'is coming', '.']	['The neighbors hoped that', 'the men', 'of the parrot', '', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', '', 'is coming', '.']	['The neighbors hoped that', 'the parents', 'of the parrots', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the visitors', 'of the parrot', 'in the trees', 'are coming', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrots in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16188	The neighbors hoped that the guys of the parrots are coming .	The neighbors hoped that the owner of the parrots is coming .	The neighbors hoped that the men of the parrot are coming .	The neighbors hoped that the owner of the parrot is coming .	The neighbors hoped that the visitors of the parrots in the trees are coming .	The neighbors hoped that the owner of the parrots in the trees is coming .	The neighbors hoped that the children of the parrot in the trees are coming .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The neighbors hoped that', 'the guys', 'of the parrots', '', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', '', 'is coming', '.']	['The neighbors hoped that', 'the men', 'of the parrot', '', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', '', 'is coming', '.']	['The neighbors hoped that', 'the visitors', 'of the parrots', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the children', 'of the parrot', 'in the trees', 'are coming', '.']	The neighbors hoped that the owner of the parrot in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrots in the trees is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
16175	The neighbors announced that the owners of the parrots are coming .	The neighbors reported that the owner of the parrots is coming .	The neighbors said that the owners of the parrot are coming .	The neighbors knew that the owner of the parrot is coming .	The neighbors learned that the owners of the parrots in the trees are coming .	The neighbors heard that the owner of the parrots in the trees is coming .	The neighbors worried that the owners of the parrot in the trees are coming .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The neighbors announced that', 'the owners', 'of the parrots', '', 'are coming', '.']	['The neighbors reported that', 'the owner', 'of the parrots', '', 'is coming', '.']	['The neighbors said that', 'the owners', 'of the parrot', '', 'are coming', '.']	['The neighbors knew that', 'the owner', 'of the parrot', '', 'is coming', '.']	['The neighbors learned that', 'the owners', 'of the parrots', 'in the trees', 'are coming', '.']	['The neighbors heard that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors worried that', 'the owners', 'of the parrot', 'in the trees', 'are coming', '.']	The neighbors said that the owner of the parrot in the trees is coming .	The neighbors said that the owner of the parrot in the tree are coming .	The neighbors said that the owner of the parrot in the trees are coming .	The neighbors said that the owner of the parrot in the trees are coming .	The neighbors said that the owner of the parrots in the trees is coming .	The neighbors said that the owner of the parrot in the tree is coming .	The neighbors said that the owner of the parrot and the tree is coming .	The neighbors said that the owner of the parrot in the trees in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The neighbors said that', 'the owner', 'of the parrot', 'in the trees', 'is coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors said that', 'the owner', 'of the parrots', 'in the trees', 'is coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'and the tree', 'is coming', '.']	['The neighbors said that', 'the owner', 'of the parrot', 'in the trees', 'in the garden', 'is coming', '.']
0	The link with the program is broken .	The problems with the program are broken .	The interface with the programs is broken .	The deals with the programs are broken .	The contract with the program of the experiment is broken .	The systems with the program of the experiment are broken .	The issue with the programs of the experiment is broken .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The link', 'with the program', '', 'is broken', '.']	['The problems', 'with the program', '', 'are broken', '.']	['The interface', 'with the programs', '', 'is broken', '.']	['The deals', 'with the programs', '', 'are broken', '.']	['The contract', 'with the program', 'of the experiment', 'is broken', '.']	['The systems', 'with the program', 'of the experiment', 'are broken', '.']	['The issue', 'with the programs', 'of the experiment', 'is broken', '.']	The systems with the programs of the experiment are broken .	The systems with the programs of the experiments is broken .	The systems with the programs of the experiment is broken .	The systems with the programs of the experiment is broken .	The systems with the program of the experiment are broken .	The systems with the programs of the experiments are broken .	The systems with the programs and the experiments are broken .	The systems with the programs of the experiment of the students are broken .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The systems', 'with the programs', 'of the experiment', 'are broken', '.']	['The systems', 'with the programs', 'of the experiments', 'is broken', '.']	['The systems', 'with the programs', 'of the experiment', 'is broken', '.']	['The systems', 'with the programs', 'of the experiment', 'is broken', '.']	['The systems', 'with the program', 'of the experiment', 'are broken', '.']	['The systems', 'with the programs', 'of the experiments', 'are broken', '.']	['The systems', 'with the programs', 'and the experiments', 'are broken', '.']	['The systems', 'with the programs', 'of the experiment', 'of the students', 'are broken', '.']
29	The box with the book is on the shelf .	The boxes with the answer are on the shelf .	The box with the papers is on the shelf .	The boxes with the cards are on the shelf .	The box with the milk of the cell is on the shelf .	The boxes with the money of the cell are on the shelf .	The box with the foods of the cell is on the shelf .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The box', 'with the book', '', 'is on the shelf', '.']	['The boxes', 'with the answer', '', 'are on the shelf', '.']	['The box', 'with the papers', '', 'is on the shelf', '.']	['The boxes', 'with the cards', '', 'are on the shelf', '.']	['The box', 'with the milk', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the money', 'of the cell', 'are on the shelf', '.']	['The box', 'with the foods', 'of the cell', 'is on the shelf', '.']	The boxes with the moneys of the cell are on the shelf .	The boxes with the moneys of the cells is on the shelf .	The boxes with the moneys of the cell is on the shelf .	The boxes with the moneys of the cell is on the shelf .	The boxes with the money of the cell are on the shelf .	The boxes with the moneys of the cells are on the shelf .	The boxes with the moneys and the cells are on the shelf .	The boxes with the moneys of the cell of the prisoners are on the shelf .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The boxes', 'with the moneys', 'of the cell', 'are on the shelf', '.']	['The boxes', 'with the moneys', 'of the cells', 'is on the shelf', '.']	['The boxes', 'with the moneys', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the moneys', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the money', 'of the cell', 'are on the shelf', '.']	['The boxes', 'with the moneys', 'of the cells', 'are on the shelf', '.']	['The boxes', 'with the moneys', 'and the cells', 'are on the shelf', '.']	['The boxes', 'with the moneys', 'of the cell', 'of the prisoners', 'are on the shelf', '.']
16029	The owners of the things that the neighbors like are coming .	The owner of the dogs that the neighbors like is coming .	The owners of the parrot that the neighbors like are coming .	The owner of the parrot that the neighbors like is coming .	The owners of the homes in the trees that the neighbors like are coming .	The owner of the pets in the trees that the neighbors like is coming .	The owners of the parrot in the trees that the neighbors like are coming .	Subj_pl P1_pl P2_None ROC_pl V_pl	Subj_sg P1_pl P2_None ROC_sg V_sg	Subj_pl P1_sg P2_None ROC_pl V_pl	Subj_sg P1_sg P2_None ROC_sg V_sg	Subj_pl P1_pl P2_pl ROC_pl V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_pl P1_sg P2_pl ROC_pl V_pl	['The owners', 'of the things', '', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the dogs', '', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the parrot', '', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', '', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the homes', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the pets', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owners', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	The owner of the parrot in the trees that the neighbors like is coming .	The owner of the parrot in the tree that the neighbors like are coming .	The owner of the parrot in the trees that the neighbors like are coming .	The owner of the parrot in the trees that the neighbors like are coming .	The owner of the animals in the trees that the neighbors like is coming .	The owner of the parrot in the tree that the neighbors like is coming .	The owner of the parrot and the tree that the neighbors like is coming .	The owner of the parrot in the trees in the garden that the neighbors like is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_sg P1_sg P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_sg	Subj_sg P1_sg Conj2_sg ROC_sg V_sg	Subj_sg P1_sg P2_pl P3_sg ROC_sg V_sg	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the parrot', 'in the trees', 'that the neighbors like', 'are coming', '.']	['The owner', 'of the animals', 'in the trees', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the tree', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'and the tree', 'that the neighbors like', 'is coming', '.']	['The owner', 'of the parrot', 'in the trees', 'in the garden', 'that the neighbors like', 'is coming', '.']
