	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
0	Il gioco col programma non funziona .	I dispositivo col programma non funzionano .	Il calcolatore coi programmi non funziona .	I elaboratore coi programmi non funzionano .	Il macchina col programma dell' esperimento non funziona .	I apparecchio col programma dell' esperimento non funzionano .	Il sistema coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il gioco', 'col programma', '', 'non funziona', '.']	['I dispositivo', 'col programma', '', 'non funzionano', '.']	['Il calcolatore', 'coi programmi', '', 'non funziona', '.']	['I elaboratore', 'coi programmi', '', 'non funzionano', '.']	"['Il macchina', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I apparecchio', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il sistema', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I dispositivo coi programmi dell' esperimento non funzionano .	I dispositivo coi programmi degli esperimenti non funziona .	I dispositivo coi programmi dell' esperimento non funziona .	I dispositivo coi programmi dell' esperimento non funziona .	I dispositivo col programma dell' esperimento non funzionano .	I dispositivo coi programmi degli esperimenti non funzionano .	I dispositivo coi programmi e gli esperimenti non funzionano .	I dispositivo coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I dispositivo', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I dispositivo', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I dispositivo', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I dispositivo', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I dispositivo', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
1	Il sistema col programma non funziona .	I macchina col programma non funzionano .	Il elaboratore coi programmi non funziona .	I gioco coi programmi non funzionano .	Il apparecchio col programma dell' esperimento non funziona .	I calcolatore col programma dell' esperimento non funzionano .	Il dispositivo coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il sistema', 'col programma', '', 'non funziona', '.']	['I macchina', 'col programma', '', 'non funzionano', '.']	['Il elaboratore', 'coi programmi', '', 'non funziona', '.']	['I gioco', 'coi programmi', '', 'non funzionano', '.']	"['Il apparecchio', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I calcolatore', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il dispositivo', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I sistema coi programmi dell' esperimento non funzionano .	I sistema coi programmi degli esperimenti non funziona .	I sistema coi programmi dell' esperimento non funziona .	I sistema coi programmi dell' esperimento non funziona .	I sistema col programma dell' esperimento non funzionano .	I sistema coi programmi degli esperimenti non funzionano .	I sistema coi programmi e gli esperimenti non funzionano .	I sistema coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I sistema', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I sistema', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I sistema', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I sistema', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I sistema', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I sistema', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
2	Il elaboratore col programma non funziona .	I apparecchio col programma non funzionano .	Il dispositivo coi programmi non funziona .	I sistema coi programmi non funzionano .	Il calcolatore col programma dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	Il gioco coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il elaboratore', 'col programma', '', 'non funziona', '.']	['I apparecchio', 'col programma', '', 'non funzionano', '.']	['Il dispositivo', 'coi programmi', '', 'non funziona', '.']	['I sistema', 'coi programmi', '', 'non funzionano', '.']	"['Il calcolatore', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il gioco', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I elaboratore coi programmi dell' esperimento non funzionano .	I elaboratore coi programmi degli esperimenti non funziona .	I elaboratore coi programmi dell' esperimento non funziona .	I elaboratore coi programmi dell' esperimento non funziona .	I elaboratore col programma dell' esperimento non funzionano .	I elaboratore coi programmi degli esperimenti non funzionano .	I elaboratore coi programmi e gli esperimenti non funzionano .	I elaboratore coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I elaboratore', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I elaboratore', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I elaboratore', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I elaboratore', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I elaboratore', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
3	Il macchina col programma non funziona .	I dispositivo col programma non funzionano .	Il sistema coi programmi non funziona .	I apparecchio coi programmi non funzionano .	Il gioco col programma dell' esperimento non funziona .	I elaboratore col programma dell' esperimento non funzionano .	Il calcolatore coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il macchina', 'col programma', '', 'non funziona', '.']	['I dispositivo', 'col programma', '', 'non funzionano', '.']	['Il sistema', 'coi programmi', '', 'non funziona', '.']	['I apparecchio', 'coi programmi', '', 'non funzionano', '.']	"['Il gioco', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I elaboratore', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il calcolatore', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I macchina coi programmi dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funzionano .	I macchina coi programmi e gli esperimenti non funzionano .	I macchina coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I macchina', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
4	Il sistema col programma non funziona .	I elaboratore col programma non funzionano .	Il dispositivo coi programmi non funziona .	I calcolatore coi programmi non funzionano .	Il apparecchio col programma dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	Il gioco coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il sistema', 'col programma', '', 'non funziona', '.']	['I elaboratore', 'col programma', '', 'non funzionano', '.']	['Il dispositivo', 'coi programmi', '', 'non funziona', '.']	['I calcolatore', 'coi programmi', '', 'non funzionano', '.']	"['Il apparecchio', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il gioco', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I macchina coi programmi dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina coi programmi dell' esperimento non funziona .	I macchina col programma dell' esperimento non funzionano .	I macchina coi programmi degli esperimenti non funzionano .	I macchina coi programmi e gli esperimenti non funzionano .	I macchina coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I macchina', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I macchina', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I macchina', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I macchina', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
5	Il computer col computer non funziona .	I computer col cervello non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col tempo dell' esperimento non funziona .	I computer col sangue dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col computer', '', 'non funziona', '.']	['I computer', 'col cervello', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col tempo', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col sangue', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
6	Il computer col tempo non funziona .	I computer col sangue non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col codice dell' esperimento non funziona .	I computer col cervello dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col tempo', '', 'non funziona', '.']	['I computer', 'col sangue', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col codice', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col cervello', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
7	Il computer col sangue non funziona .	I computer col cervello non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col virus dell' esperimento non funziona .	I computer col software dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col sangue', '', 'non funziona', '.']	['I computer', 'col cervello', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col virus', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col software', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col software dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col software', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
8	Il computer col codice non funziona .	I computer col virus non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col computer dell' esperimento non funziona .	I computer col software dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col codice', '', 'non funziona', '.']	['I computer', 'col virus', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col computer', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col software', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col codice dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col codice', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
9	Il computer col computer non funziona .	I computer col cervello non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col software dell' esperimento non funziona .	I computer col sangue dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col computer', '', 'non funziona', '.']	['I computer', 'col cervello', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col software', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col sangue', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col computer dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col computer', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
