Unnamed: 0	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
760	The kids of the men that the children like are crying .	The kid of the men that the children like is crying .	The kids of the man that the children like are crying .	The kid of the man that the children like is crying .	The kids of the men near the stations that the children like are crying .	The kid of the men near the stations that the children like is crying .	The kids of the man near the stations that the children like are crying .	Subj_pl P1_pl P2_None ROC_pl V_pl	Subj_sg P1_pl P2_None ROC_sg V_sg	Subj_pl P1_sg P2_None ROC_pl V_pl	Subj_sg P1_sg P2_None ROC_sg V_sg	Subj_pl P1_pl P2_pl ROC_pl V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_pl P1_sg P2_pl ROC_pl V_pl	['The kids', 'of the men', '', 'that the children like', 'are crying', '.']	['The kid', 'of the men', '', 'that the children like', 'is crying', '.']	['The kids', 'of the man', '', 'that the children like', 'are crying', '.']	['The kid', 'of the man', '', 'that the children like', 'is crying', '.']	['The kids', 'of the men', 'near the stations', 'that the children like', 'are crying', '.']	['The kid', 'of the men', 'near the stations', 'that the children like', 'is crying', '.']	['The kids', 'of the man', 'near the stations', 'that the children like', 'are crying', '.']	The kid of the man near the stations that the children like is crying .	The kid of the man near the station that the children like are crying .	The kid of the man near the stations that the children like are crying .	The kid of the man near the stations that the children like are crying .	The kid of the men near the stations that the children like is crying .	The kid of the man near the station that the children like is crying .	The kid of the man and the station that the children like is crying .	The kid of the man near the stations of the train that the children like is crying .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_sg P1_sg P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_sg P2_pl ROC_sg V_pl	Subj_sg P1_pl P2_pl ROC_sg V_sg	Subj_sg P1_sg P2_sg ROC_sg V_sg	Subj_sg P1_sg Conj2_sg ROC_sg V_sg	Subj_sg P1_sg P2_pl P3_sg ROC_sg V_sg	['The kid', 'of the man', 'near the stations', 'that the children like', 'is crying', '.']	['The kid', 'of the man', 'near the station', 'that the children like', 'are crying', '.']	['The kid', 'of the man', 'near the stations', 'that the children like', 'are crying', '.']	['The kid', 'of the man', 'near the stations', 'that the children like', 'are crying', '.']	['The kid', 'of the men', 'near the stations', 'that the children like', 'is crying', '.']	['The kid', 'of the man', 'near the station', 'that the children like', 'is crying', '.']	['The kid', 'of the man', 'and the station', 'that the children like', 'is crying', '.']	['The kid', 'of the man', 'near the stations', 'of the train', 'that the children like', 'is crying', '.']
749	The president said that the threats of the reforms alarm the doctors .	The president said that the threat of the reforms alarms the doctors .	The president said that the threats of the reform alarm the doctors .	The president said that the threat of the reform alarms the doctors .	The president said that the threats of the reforms in the schools alarm the doctors .	The president said that the threat of the reforms in the schools alarms the doctors .	The president said that the threats of the reform in the schools alarm the doctors .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The president said that', 'the threats', 'of the reforms', '', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reforms', '', 'alarms the doctors', '.']	['The president said that', 'the threats', 'of the reform', '', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reform', '', 'alarms the doctors', '.']	['The president said that', 'the threats', 'of the reforms', 'in the schools', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reforms', 'in the schools', 'alarms the doctors', '.']	['The president said that', 'the threats', 'of the reform', 'in the schools', 'alarm the doctors', '.']	The president said that the threat of the reform in the schools alarms the doctors .	The president said that the threat of the reform in the school alarm the doctors .	The president said that the threat of the reform in the schools alarm the doctors .	The president said that the threat of the reform in the schools alarm the doctors .	The president said that the threat of the reforms in the schools alarms the doctors .	The president said that the threat of the reform in the school alarms the doctors .	The president said that the threat of the reform and the school alarms the doctors .	The president said that the threat of the reform in the schools in the medical sector alarms the doctors .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The president said that', 'the threat', 'of the reform', 'in the schools', 'alarms the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'in the school', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'in the schools', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'in the schools', 'alarm the doctors', '.']	['The president said that', 'the threat', 'of the reforms', 'in the schools', 'alarms the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'in the school', 'alarms the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'and the school', 'alarms the doctors', '.']	['The president said that', 'the threat', 'of the reform', 'in the schools', 'in the medical sector', 'alarms the doctors', '.']
30	The trainer of the winner is getting a big raise .	The trainers of the winner are getting a big raise .	The trainer of the winners is getting a big raise .	The trainers of the winners are getting a big raise .	The trainer of the winner of the game is getting a big raise .	The trainers of the winner of the game are getting a big raise .	The trainer of the winners of the game is getting a big raise .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The trainer', 'of the winner', '', 'is getting a big raise', '.']	['The trainers', 'of the winner', '', 'are getting a big raise', '.']	['The trainer', 'of the winners', '', 'is getting a big raise', '.']	['The trainers', 'of the winners', '', 'are getting a big raise', '.']	['The trainer', 'of the winner', 'of the game', 'is getting a big raise', '.']	['The trainers', 'of the winner', 'of the game', 'are getting a big raise', '.']	['The trainer', 'of the winners', 'of the game', 'is getting a big raise', '.']	The trainers of the winners of the game are getting a big raise .	The trainers of the winners of the games is getting a big raise .	The trainers of the winners of the game is getting a big raise .	The trainers of the winners of the game is getting a big raise .	The trainers of the winner of the game are getting a big raise .	The trainers of the winners of the games are getting a big raise .	The trainers of the winners and the games are getting a big raise .	The trainers of the winners of the game in the tournaments are getting a big raise .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The trainers', 'of the winners', 'of the game', 'are getting a big raise', '.']	['The trainers', 'of the winners', 'of the games', 'is getting a big raise', '.']	['The trainers', 'of the winners', 'of the game', 'is getting a big raise', '.']	['The trainers', 'of the winners', 'of the game', 'is getting a big raise', '.']	['The trainers', 'of the winner', 'of the game', 'are getting a big raise', '.']	['The trainers', 'of the winners', 'of the games', 'are getting a big raise', '.']	['The trainers', 'of the winners', 'and the games', 'are getting a big raise', '.']	['The trainers', 'of the winners', 'of the game', 'in the tournaments', 'are getting a big raise', '.']
738	Mary says that the boxes with the keys are on the shelf .	Mary says that the box with the keys is on the shelf .	Mary says that the boxes with the key are on the shelf .	Mary says that the box with the key is on the shelf .	Mary says that the boxes with the keys of the cells are on the shelf .	Mary says that the box with the keys of the cells is on the shelf .	Mary says that the boxes with the key of the cells are on the shelf .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['Mary says that', 'the boxes', 'with the keys', '', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the keys', '', 'is on the shelf', '.']	['Mary says that', 'the boxes', 'with the key', '', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the key', '', 'is on the shelf', '.']	['Mary says that', 'the boxes', 'with the keys', 'of the cells', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the keys', 'of the cells', 'is on the shelf', '.']	['Mary says that', 'the boxes', 'with the key', 'of the cells', 'are on the shelf', '.']	Mary says that the box with the key of the cells is on the shelf .	Mary says that the box with the key of the cell are on the shelf .	Mary says that the box with the key of the cells are on the shelf .	Mary says that the box with the key of the cells are on the shelf .	Mary says that the box with the keys of the cells is on the shelf .	Mary says that the box with the key of the cell is on the shelf .	Mary says that the box with the key and the cell is on the shelf .	Mary says that the box with the key of the cells of the prisoner is on the shelf .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['Mary says that', 'the box', 'with the key', 'of the cells', 'is on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'of the cell', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'of the cells', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'of the cells', 'are on the shelf', '.']	['Mary says that', 'the box', 'with the keys', 'of the cells', 'is on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'of the cell', 'is on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'and the cell', 'is on the shelf', '.']	['Mary says that', 'the box', 'with the key', 'of the cells', 'of the prisoner', 'is on the shelf', '.']
2	The box with the key is on the shelf .	The boxes with the key are on the shelf .	The box with the keys is on the shelf .	The boxes with the keys are on the shelf .	The box with the key of the cell is on the shelf .	The boxes with the key of the cell are on the shelf .	The box with the keys of the cell is on the shelf .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The box', 'with the key', '', 'is on the shelf', '.']	['The boxes', 'with the key', '', 'are on the shelf', '.']	['The box', 'with the keys', '', 'is on the shelf', '.']	['The boxes', 'with the keys', '', 'are on the shelf', '.']	['The box', 'with the key', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the key', 'of the cell', 'are on the shelf', '.']	['The box', 'with the keys', 'of the cell', 'is on the shelf', '.']	The boxes with the keys of the cell are on the shelf .	The boxes with the keys of the cells is on the shelf .	The boxes with the keys of the cell is on the shelf .	The boxes with the keys of the cell is on the shelf .	The boxes with the key of the cell are on the shelf .	The boxes with the keys of the cells are on the shelf .	The boxes with the keys and the cells are on the shelf .	The boxes with the keys of the cell of the prisoners are on the shelf .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The boxes', 'with the keys', 'of the cell', 'are on the shelf', '.']	['The boxes', 'with the keys', 'of the cells', 'is on the shelf', '.']	['The boxes', 'with the keys', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the keys', 'of the cell', 'is on the shelf', '.']	['The boxes', 'with the key', 'of the cell', 'are on the shelf', '.']	['The boxes', 'with the keys', 'of the cells', 'are on the shelf', '.']	['The boxes', 'with the keys', 'and the cells', 'are on the shelf', '.']	['The boxes', 'with the keys', 'of the cell', 'of the prisoners', 'are on the shelf', '.']
741	The author thought that the studies on the effects will be published soon .	The author thought that the study on the effects will be published soon .	The author thought that the studies on the effect will be published soon .	The author thought that the study on the effect will be published soon .	The author thought that the studies on the effects of the drugs will be published soon .	The author thought that the study on the effects of the drugs will be published soon .	The author thought that the studies on the effect of the drugs will be published soon .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The author thought that', 'the studies', 'on the effects', '', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effects', '', 'will be published soon', '.']	['The author thought that', 'the studies', 'on the effect', '', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', '', 'will be published soon', '.']	['The author thought that', 'the studies', 'on the effects', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effects', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the studies', 'on the effect', 'of the drugs', 'will be published soon', '.']	The author thought that the study on the effect of the drugs will be published soon .	The author thought that the study on the effect of the drug will be published soon .	The author thought that the study on the effect of the drugs will be published soon .	The author thought that the study on the effect of the drugs will be published soon .	The author thought that the study on the effects of the drugs will be published soon .	The author thought that the study on the effect of the drug will be published soon .	The author thought that the study on the effect and the drug will be published soon .	The author thought that the study on the effect of the drugs in the region will be published soon .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The author thought that', 'the study', 'on the effect', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'of the drug', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effects', 'of the drugs', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'of the drug', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'and the drug', 'will be published soon', '.']	['The author thought that', 'the study', 'on the effect', 'of the drugs', 'in the region', 'will be published soon', '.']
15	The party in the apartment bothers the neighbors .	The parties in the apartment bother the neighbors .	The party in the apartments bothers the neighbors .	The parties in the apartments bother the neighbors .	The party in the apartment in the basement bothers the neighbors .	The parties in the apartment in the basement bother the neighbors .	The party in the apartments in the basement bothers the neighbors .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The party', 'in the apartment', '', 'bothers the neighbors', '.']	['The parties', 'in the apartment', '', 'bother the neighbors', '.']	['The party', 'in the apartments', '', 'bothers the neighbors', '.']	['The parties', 'in the apartments', '', 'bother the neighbors', '.']	['The party', 'in the apartment', 'in the basement', 'bothers the neighbors', '.']	['The parties', 'in the apartment', 'in the basement', 'bother the neighbors', '.']	['The party', 'in the apartments', 'in the basement', 'bothers the neighbors', '.']	The parties in the apartments in the basement bother the neighbors .	The parties in the apartments in the basements bothers the neighbors .	The parties in the apartments in the basement bothers the neighbors .	The parties in the apartments in the basement bothers the neighbors .	The parties in the apartment in the basement bother the neighbors .	The parties in the apartments in the basements bother the neighbors .	The parties in the apartments and the basements bother the neighbors .	The parties in the apartments in the basement of my daughters bother the neighbors .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The parties', 'in the apartments', 'in the basement', 'bother the neighbors', '.']	['The parties', 'in the apartments', 'in the basements', 'bothers the neighbors', '.']	['The parties', 'in the apartments', 'in the basement', 'bothers the neighbors', '.']	['The parties', 'in the apartments', 'in the basement', 'bothers the neighbors', '.']	['The parties', 'in the apartment', 'in the basement', 'bother the neighbors', '.']	['The parties', 'in the apartments', 'in the basements', 'bother the neighbors', '.']	['The parties', 'in the apartments', 'and the basements', 'bother the neighbors', '.']	['The parties', 'in the apartments', 'in the basement', 'of my daughters', 'bother the neighbors', '.']
735	The neighbors hoped that the owners of the parrots in the tree are coming .	The neighbors hoped that the owner of the parrots in the tree is coming .	The neighbors hoped that the owners of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owners of the parrots are coming .	The neighbors hoped that the owner of the parrots is coming .	The neighbors hoped that the owners of the parrot are coming .	Prefix Subj_pl P1_pl P2_sg V_pl	Prefix Subj_sg P1_pl P2_sg V_sg	Prefix Subj_pl P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	['The neighbors hoped that', 'the owners', 'of the parrots', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owners', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owners', 'of the parrots', '', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', '', 'is coming', '.']	['The neighbors hoped that', 'the owners', 'of the parrot', '', 'are coming', '.']	The neighbors hoped that the owner of the parrot is coming .	The neighbors hoped that the owner of the parrot in the tree are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrot in the trees are coming .	The neighbors hoped that the owner of the parrots is coming .	The neighbors hoped that the owner of the parrot in the tree is coming .	The neighbors hoped that the owner of the parrot and the tree is coming .	The neighbors hoped that the owner of the parrot in the garden is coming .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg P2_None V_sg	Prefix Subj_sg P1_sg P2_None P3_sg V_sg	['The neighbors hoped that', 'the owner', 'of the parrot', '', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the trees', 'are coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrots', '', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'in the tree', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', 'and the tree', '', 'is coming', '.']	['The neighbors hoped that', 'the owner', 'of the parrot', '', 'in the garden', 'is coming', '.']
755	The colleagues saw that the strikers on the balconies block the door .	The colleagues saw that the striker on the balconies blocks the door .	The colleagues saw that the strikers on the balcony block the door .	The colleagues saw that the striker on the balcony blocks the door .	The colleagues saw that the strikers on the balconies of the bosses block the door .	The colleagues saw that the striker on the balconies of the bosses blocks the door .	The colleagues saw that the strikers on the balcony of the bosses block the door .	Prefix Subj_pl P1_pl P2_None V_pl	Prefix Subj_sg P1_pl P2_None V_sg	Prefix Subj_pl P1_sg P2_None V_pl	Prefix Subj_sg P1_sg P2_None V_sg	Prefix Subj_pl P1_pl P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_pl P1_sg P2_pl V_pl	['The colleagues saw that', 'the strikers', 'on the balconies', '', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balconies', '', 'blocks the door', '.']	['The colleagues saw that', 'the strikers', 'on the balcony', '', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', '', 'blocks the door', '.']	['The colleagues saw that', 'the strikers', 'on the balconies', 'of the bosses', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balconies', 'of the bosses', 'blocks the door', '.']	['The colleagues saw that', 'the strikers', 'on the balcony', 'of the bosses', 'block the door', '.']	The colleagues saw that the striker on the balcony of the bosses blocks the door .	The colleagues saw that the striker on the balcony of the boss block the door .	The colleagues saw that the striker on the balcony of the bosses block the door .	The colleagues saw that the striker on the balcony of the bosses block the door .	The colleagues saw that the striker on the balconies of the bosses blocks the door .	The colleagues saw that the striker on the balcony of the boss blocks the door .	The colleagues saw that the striker on the balcony and the boss blocks the door .	The colleagues saw that the striker on the balcony of the bosses of the company blocks the door .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Prefix Subj_sg P1_sg P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_sg P2_pl V_pl	Prefix Subj_sg P1_pl P2_pl V_sg	Prefix Subj_sg P1_sg P2_sg V_sg	Prefix Subj_sg P1_sg Conj2_sg V_sg	Prefix Subj_sg P1_sg P2_pl P3_sg V_sg	['The colleagues saw that', 'the striker', 'on the balcony', 'of the bosses', 'blocks the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'of the boss', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'of the bosses', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'of the bosses', 'block the door', '.']	['The colleagues saw that', 'the striker', 'on the balconies', 'of the bosses', 'blocks the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'of the boss', 'blocks the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'and the boss', 'blocks the door', '.']	['The colleagues saw that', 'the striker', 'on the balcony', 'of the bosses', 'of the company', 'blocks the door', '.']
25	The lawyer of the thief has returned .	The lawyers of the thief have returned .	The lawyer of the thieves has returned .	The lawyers of the thieves have returned .	The lawyer of the thief from the village has returned .	The lawyers of the thief from the village have returned .	The lawyer of the thieves from the village has returned .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['The lawyer', 'of the thief', '', 'has returned', '.']	['The lawyers', 'of the thief', '', 'have returned', '.']	['The lawyer', 'of the thieves', '', 'has returned', '.']	['The lawyers', 'of the thieves', '', 'have returned', '.']	['The lawyer', 'of the thief', 'from the village', 'has returned', '.']	['The lawyers', 'of the thief', 'from the village', 'have returned', '.']	['The lawyer', 'of the thieves', 'from the village', 'has returned', '.']	The lawyers of the thieves from the village have returned .	The lawyers of the thieves from the villages has returned .	The lawyers of the thieves from the village has returned .	The lawyers of the thieves from the village has returned .	The lawyers of the thief from the village have returned .	The lawyers of the thieves from the villages have returned .	The lawyers of the thieves and the villages have returned .	The lawyers of the thieves from the village close to the lakes have returned .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['The lawyers', 'of the thieves', 'from the village', 'have returned', '.']	['The lawyers', 'of the thieves', 'from the villages', 'has returned', '.']	['The lawyers', 'of the thieves', 'from the village', 'has returned', '.']	['The lawyers', 'of the thieves', 'from the village', 'has returned', '.']	['The lawyers', 'of the thief', 'from the village', 'have returned', '.']	['The lawyers', 'of the thieves', 'from the villages', 'have returned', '.']	['The lawyers', 'of the thieves', 'and the villages', 'have returned', '.']	['The lawyers', 'of the thieves', 'from the village', 'close to the lakes', 'have returned', '.']
