	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4	Sent_template_5	Sent_template_6	Sent_template_7	Sent_chunks_1	Sent_chunks_2	Sent_chunks_3	Sent_chunks_4	Sent_chunks_5	Sent_chunks_6	Sent_chunks_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_8	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_template_1	Answer_template_2	Answer_template_3	Answer_template_4	Answer_template_5	Answer_template_6	Answer_template_7	Answer_template_8	Answer_chunks_1	Answer_chunks_2	Answer_chunks_3	Answer_chunks_4	Answer_chunks_5	Answer_chunks_6	Answer_chunks_7	Answer_chunks_8
0	Il computer col programma non funziona .	I computer col programma non funzionano .	Il computer coi programmi non funziona .	I computer coi programmi non funzionano .	Il computer col programma dell' esperimento non funziona .	I computer col programma dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funziona .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il computer', 'col programma', '', 'non funziona', '.']	['I computer', 'col programma', '', 'non funzionano', '.']	['Il computer', 'coi programmi', '', 'non funziona', '.']	['I computer', 'coi programmi', '', 'non funzionano', '.']	"['Il computer', 'col programma', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	"['Il computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	I computer coi programmi dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col programma dell' esperimento non funzionano .	I computer coi programmi degli esperimenti non funzionano .	I computer coi programmi e gli esperimenti non funzionano .	I computer coi programmi dell' esperimento sugli adulti non funzionano .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funziona', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'coi programmi', ""dell' esperimento"", 'non funziona', '.']"	"['I computer', 'col programma', ""dell' esperimento"", 'non funzionano', '.']"	['I computer', 'coi programmi', 'degli esperimenti', 'non funzionano', '.']	['I computer', 'coi programmi', 'e gli esperimenti', 'non funzionano', '.']	"['I computer', 'coi programmi', ""dell' esperimento"", 'sugli adulti', 'non funzionano', '.']"
1	La mostra col disegno ha avuto molto successo .	Le mostre col disegno hanno avuto molto successo .	La mostra coi disegni ha avuto molto successo .	Le mostre coi disegni hanno avuto molto successo .	La mostra col disegno del bambino ha avuto molto successo .	Le mostre col disegno del bambino hanno avuto molto successo .	La mostra coi disegni del bambino ha avuto molto successo .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La mostra', 'col disegno', '', 'ha avuto molto successo', '.']	['Le mostre', 'col disegno', '', 'hanno avuto molto successo', '.']	['La mostra', 'coi disegni', '', 'ha avuto molto successo', '.']	['Le mostre', 'coi disegni', '', 'hanno avuto molto successo', '.']	['La mostra', 'col disegno', 'del bambino', 'ha avuto molto successo', '.']	['Le mostre', 'col disegno', 'del bambino', 'hanno avuto molto successo', '.']	['La mostra', 'coi disegni', 'del bambino', 'ha avuto molto successo', '.']	Le mostre coi disegni del bambino hanno avuto molto successo .	Le mostre coi disegni dei bambini ha avuto molto successo .	Le mostre coi disegni del bambino ha avuto molto successo .	Le mostre coi disegni del bambino ha avuto molto successo .	Le mostre col disegno del bambino hanno avuto molto successo .	Le mostre coi disegni dei bambini hanno avuto molto successo .	Le mostre coi disegni e i bambini hanno avuto molto successo .	Le mostre coi disegni del bambino degli asili hanno avuto molto successo .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Le mostre', 'coi disegni', 'del bambino', 'hanno avuto molto successo', '.']	['Le mostre', 'coi disegni', 'dei bambini', 'ha avuto molto successo', '.']	['Le mostre', 'coi disegni', 'del bambino', 'ha avuto molto successo', '.']	['Le mostre', 'coi disegni', 'del bambino', 'ha avuto molto successo', '.']	['Le mostre', 'col disegno', 'del bambino', 'hanno avuto molto successo', '.']	['Le mostre', 'coi disegni', 'dei bambini', 'hanno avuto molto successo', '.']	['Le mostre', 'coi disegni', 'e i bambini', 'hanno avuto molto successo', '.']	['Le mostre', 'coi disegni', 'del bambino', 'degli asili', 'hanno avuto molto successo', '.']
2	Il mazzo con la chiave si trova sullo scaffale .	I mazzi con la chiave si trovano sullo scaffale .	Il mazzo con le chiavi si trova sullo scaffale .	I mazzi con le chiavi si trovano sullo scaffale .	Il mazzo con la chiave della cella si trova sullo scaffale .	I mazzi con la chiave della cella si trovano sullo scaffale .	Il mazzo con le chiavi della cella si trova sullo scaffale .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il mazzo', 'con la chiave', '', 'si trova sullo scaffale', '.']	['I mazzi', 'con la chiave', '', 'si trovano sullo scaffale', '.']	['Il mazzo', 'con le chiavi', '', 'si trova sullo scaffale', '.']	['I mazzi', 'con le chiavi', '', 'si trovano sullo scaffale', '.']	['Il mazzo', 'con la chiave', 'della cella', 'si trova sullo scaffale', '.']	['I mazzi', 'con la chiave', 'della cella', 'si trovano sullo scaffale', '.']	['Il mazzo', 'con le chiavi', 'della cella', 'si trova sullo scaffale', '.']	I mazzi con le chiavi della cella si trovano sullo scaffale .	I mazzi con le chiavi delle celle si trova sullo scaffale .	I mazzi con le chiavi della cella si trova sullo scaffale .	I mazzi con le chiavi della cella si trova sullo scaffale .	I mazzi con la chiave della cella si trovano sullo scaffale .	I mazzi con le chiavi delle celle si trovano sullo scaffale .	I mazzi con le chiavi e le celle si trovano sullo scaffale .	I mazzi con le chiavi della cella dei prigionieri si trovano sullo scaffale .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['I mazzi', 'con le chiavi', 'della cella', 'si trovano sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'delle celle', 'si trova sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'della cella', 'si trova sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'della cella', 'si trova sullo scaffale', '.']	['I mazzi', 'con la chiave', 'della cella', 'si trovano sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'delle celle', 'si trovano sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'e le celle', 'si trovano sullo scaffale', '.']	['I mazzi', 'con le chiavi', 'della cella', 'dei prigionieri', 'si trovano sullo scaffale', '.']
3	Il libro sulla privatizzazione ha entusiasmato la sala .	I libri sulla privatizzazione hanno entusiasmato la sala .	Il libro sulle privatizzazioni ha entusiasmato la sala .	I libri sulle privatizzazioni hanno entusiasmato la sala .	Il libro sulla privatizzazione della ditta ha entusiasmato la sala .	I libri sulla privatizzazione della ditta hanno entusiasmato la sala .	Il libro sulle privatizzazioni della ditta ha entusiasmato la sala .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il libro', 'sulla privatizzazione', '', 'ha entusiasmato la sala', '.']	['I libri', 'sulla privatizzazione', '', 'hanno entusiasmato la sala', '.']	['Il libro', 'sulle privatizzazioni', '', 'ha entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', '', 'hanno entusiasmato la sala', '.']	['Il libro', 'sulla privatizzazione', 'della ditta', 'ha entusiasmato la sala', '.']	['I libri', 'sulla privatizzazione', 'della ditta', 'hanno entusiasmato la sala', '.']	['Il libro', 'sulle privatizzazioni', 'della ditta', 'ha entusiasmato la sala', '.']	I libri sulle privatizzazioni della ditta hanno entusiasmato la sala .	I libri sulle privatizzazioni delle ditte ha entusiasmato la sala .	I libri sulle privatizzazioni della ditta ha entusiasmato la sala .	I libri sulle privatizzazioni della ditta ha entusiasmato la sala .	I libri sulla privatizzazione della ditta hanno entusiasmato la sala .	I libri sulle privatizzazioni delle ditte hanno entusiasmato la sala .	I libri sulle privatizzazioni e le ditte hanno entusiasmato la sala .	I libri sulle privatizzazioni della ditta delle città hanno entusiasmato la sala .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['I libri', 'sulle privatizzazioni', 'della ditta', 'hanno entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'delle ditte', 'ha entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'della ditta', 'ha entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'della ditta', 'ha entusiasmato la sala', '.']	['I libri', 'sulla privatizzazione', 'della ditta', 'hanno entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'delle ditte', 'hanno entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'e le ditte', 'hanno entusiasmato la sala', '.']	['I libri', 'sulle privatizzazioni', 'della ditta', 'delle città', 'hanno entusiasmato la sala', '.']
4	La conferenza sulla storia è cominciata più tardi del previsto .	Le conferenze sulla storia sono cominciate più tardi del previsto .	La conferenza sulle storie è cominciata più tardi del previsto .	Le conferenze sulle storie sono cominciate più tardi del previsto .	La conferenza sulla storia della guerra è cominciata più tardi del previsto .	Le conferenze sulla storia della guerra sono cominciate più tardi del previsto .	La conferenza sulle storie della guerra è cominciata più tardi del previsto .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La conferenza', 'sulla storia', '', 'è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulla storia', '', 'sono cominciate più tardi del previsto', '.']	['La conferenza', 'sulle storie', '', 'è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulle storie', '', 'sono cominciate più tardi del previsto', '.']	['La conferenza', 'sulla storia', 'della guerra', 'è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulla storia', 'della guerra', 'sono cominciate più tardi del previsto', '.']	['La conferenza', 'sulle storie', 'della guerra', 'è cominciata più tardi del previsto', '.']	Le conferenze sulle storie della guerra sono cominciate più tardi del previsto .	Le conferenze sulle storie delle guerre è cominciata più tardi del previsto .	Le conferenze sulle storie della guerra è cominciata più tardi del previsto .	Le conferenze sulle storie della guerra è cominciata più tardi del previsto .	Le conferenze sulla storia della guerra sono cominciate più tardi del previsto .	Le conferenze sulle storie delle guerre sono cominciate più tardi del previsto .	Le conferenze sulle storie e le guerre sono cominciate più tardi del previsto .	Le conferenze sulle storie della guerra delle successioni sono cominciate più tardi del previsto .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Le conferenze', 'sulle storie', 'della guerra', 'sono cominciate più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'delle guerre', ' è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'della guerra', ' è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'della guerra', ' è cominciata più tardi del previsto', '.']	['Le conferenze', 'sulla storia', 'della guerra', 'sono cominciate più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'delle guerre', 'sono cominciate più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'e le guerre', 'sono cominciate più tardi del previsto', '.']	['Le conferenze', 'sulle storie', 'della guerra', 'delle successioni', 'sono cominciate più tardi del previsto', '.']
5	Lo studio sull' effetto apparirà presto .	Gli studi sull' effetto appariranno presto .	Lo studio sugli effetti apparirà presto .	Gli studi sugli effetti appariranno presto .	Lo studio sull' effetto della droga apparirà presto .	Gli studi sull' effetto della droga appariranno presto .	Lo studio sugli effetti della droga apparirà presto .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	"['Lo studio', ""sull' effetto"", '', 'apparirà presto', '.']"	"['Gli studi', ""sull' effetto"", '', 'appariranno presto', '.']"	['Lo studio', 'sugli effetti', '', 'apparirà presto', '.']	['Gli studi', 'sugli effetti', '', 'appariranno presto', '.']	"['Lo studio', ""sull' effetto"", 'della droga', 'apparirà presto', '.']"	"['Gli studi', ""sull' effetto"", 'della droga', 'appariranno presto', '.']"	['Lo studio', 'sugli effetti', 'della droga', 'apparirà presto', '.']	Gli studi sugli effetti della droga appariranno presto .	Gli studi sugli effetti delle droghe apparirà presto .	Gli studi sugli effetti della droga apparirà presto .	Gli studi sugli effetti della droga apparirà presto .	Gli studi sull' effetto della droga appariranno presto .	Gli studi sugli effetti delle droghe appariranno presto .	Gli studi sugli effetti e le droghe appariranno presto .	Gli studi sugli effetti della droga delle regioni appariranno presto .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Gli studi', 'sugli effetti', 'della droga', 'appariranno presto', '.']	['Gli studi', 'sugli effetti', 'delle droghe', 'apparirà presto', '.']	['Gli studi', 'sugli effetti', 'della droga', 'apparirà presto', '.']	['Gli studi', 'sugli effetti', 'della droga', 'apparirà presto', '.']	"['Gli studi', ""sull' effetto"", 'della droga', 'appariranno presto', '.']"	['Gli studi', 'sugli effetti', 'delle droghe', 'appariranno presto', '.']	['Gli studi', 'sugli effetti', 'e le droghe', 'appariranno presto', '.']	['Gli studi', 'sugli effetti', 'della droga', 'delle regioni', 'appariranno presto', '.']
6	La teoria sul canto divide i ricercatori .	Le teorie sul canto dividono i riercatori .	La teoria sui canti divide i ricercatori .	Le teorie sui canti dividono i riercatori .	La teoria sul canto del canarino divide i ricercatori .	Le teorie sul canto del canarino dividono i riercatori .	La teoria sui canti del canarino divide i ricercatori .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La teoria', 'sul canto', '', 'divide i ricercatori', '.']	['Le teorie', 'sul canto', '', 'dividono i riercatori', '.']	['La teoria', 'sui canti', '', 'divide i ricercatori', '.']	['Le teorie', 'sui canti', '', 'dividono i riercatori', '.']	['La teoria', 'sul canto', 'del canarino', 'divide i ricercatori', '.']	['Le teorie', 'sul canto', 'del canarino', 'dividono i riercatori', '.']	['La teoria', 'sui canti', 'del canarino', 'divide i ricercatori', '.']	Le teorie sui canti del canarino dividono i riercatori .	Le teorie sui canti dei canarini divide i ricercatori .	Le teorie sui canti del canarino divide i ricercatori .	Le teorie sui canti del canarino divide i ricercatori .	Le teorie sul canto del canarino dividono i riercatori .	Le teorie sui canti dei canarini dividono i riercatori .	Le teorie sui canti e i canarini dividono i riercatori .	Le teorie sui canti del canarino delle montagne dividono i riercatori .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Le teorie', 'sui canti', 'del canarino', 'dividono i riercatori', '.']	['Le teorie', 'sui canti', 'dei canarini', 'divide i ricercatori', '.']	['Le teorie', 'sui canti', 'del canarino', 'divide i ricercatori', '.']	['Le teorie', 'sui canti', 'del canarino', 'divide i ricercatori', '.']	['Le teorie', 'sul canto', 'del canarino', 'dividono i riercatori', '.']	['Le teorie', 'sui canti', 'dei canarini', 'dividono i riercatori', '.']	['Le teorie', 'sui canti', 'e i canarini', 'dividono i riercatori', '.']	['Le teorie', 'sui canti', 'del canarino', 'delle montagne', 'dividono i riercatori', '.']
7	La scritta sulla porta ha irritato sua mamma .	Le scritte sulla porta hanno irritato sua mamma .	La scritta sulle porte ha irritato sua mamma .	Le scritte sulle porte hanno irritato sua mamma .	La scritta sulla porta della camera ha irritato sua mamma .	Le scritte sulla porta della camera hanno irritato sua mamma .	La scritta sulle porte della camera ha irritato sua mamma .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La scritta', 'sulla porta', '', 'ha irritato sua mamma', '.']	['Le scritte', 'sulla porta', '', 'hanno irritato sua mamma', '.']	['La scritta', 'sulle porte', '', 'ha irritato sua mamma', '.']	['Le scritte', 'sulle porte', '', 'hanno irritato sua mamma', '.']	['La scritta', 'sulla porta', 'della camera', 'ha irritato sua mamma', '.']	['Le scritte', 'sulla porta', 'della camera', 'hanno irritato sua mamma', '.']	['La scritta', 'sulle porte', 'della camera', 'ha irritato sua mamma', '.']	Le scritte sulle porte della camera hanno irritato sua mamma .	Le scritte sulle porte delle camere ha irritato sua mamma .	Le scritte sulle porte della camera ha irritato sua mamma .	Le scritte sulle porte della camera ha irritato sua mamma .	Le scritte sulla porta della camera hanno irritato sua mamma .	Le scritte sulle porte delle camere hanno irritato sua mamma .	Le scritte sulle porte e le camere hanno irritato sua mamma .	Le scritte sulle porte della camera delle ragazze hanno irritato sua mamma .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Le scritte', 'sulle porte', 'della camera', 'hanno irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'delle camere', 'ha irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'della camera', 'ha irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'della camera', 'ha irritato sua mamma', '.']	['Le scritte', 'sulla porta', 'della camera', 'hanno irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'delle camere', 'hanno irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'e le camere', 'hanno irritato sua mamma', '.']	['Le scritte', 'sulle porte', 'della camera', 'delle ragazze', 'hanno irritato sua mamma', '.']
8	Il depliant sul tema ha molto interessato .	I depliant sul tema hanno molto interessato .	Il depliant sui temi ha molto interessato .	I depliant sui temi hanno molto interessato .	Il depliant sul tema della comunità ha molto interessato .	I depliant sul tema della comunità hanno molto interessato .	Il depliant sui temi della comunità ha molto interessato .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['Il depliant', 'sul tema', '', 'ha molto interessato', '.']	['I depliant', 'sul tema', '', 'hanno molto interessato', '.']	['Il depliant', 'sui temi', '', 'ha molto interessato', '.']	['I depliant', 'sui temi', '', 'hanno molto interessato', '.']	['Il depliant', 'sul tema', 'della comunità', 'ha molto interessato', '.']	['I depliant', 'sul tema', 'della comunità', 'hanno molto interessato', '.']	['Il depliant', 'sui temi', 'della comunità', 'ha molto interessato', '.']	I depliant sui temi della comunità hanno molto interessato .	I depliant sui temi delle comunità ha molto interessato .	I depliant sui temi della comunità ha molto interessato .	I depliant sui temi della comunità ha molto interessato .	I depliant sul tema della comunità hanno molto interessato .	I depliant sui temi delle comunità hanno molto interessato .	I depliant sui temi e le comunità hanno molto interessato .	I depliant sui temi della comunità delle campagne hanno molto interessato .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['I depliant', 'sui temi', 'della comunità', 'hanno molto interessato', '.']	['I depliant', 'sui temi', 'delle comunità', 'ha molto interessato', '.']	['I depliant', 'sui temi', 'della comunità', 'ha molto interessato', '.']	['I depliant', 'sui temi', 'della comunità', 'ha molto interessato', '.']	['I depliant', 'sul tema', 'della comunità', 'hanno molto interessato', '.']	['I depliant', 'sui temi', 'delle comunità', 'hanno molto interessato', '.']	['I depliant', 'sui temi', 'e le comunità', 'hanno molto interessato', '.']	['I depliant', 'sui temi', 'della comunità', 'delle campagne', 'hanno molto interessato', '.']
9	La riga al bordo scomparve .	Le righe al bordo scomparvero .	La riga ai bordi scomparve .	Le righe ai bordi scomparvero .	La riga al bordo della strada scomparve .	Le righe al bordo della strada scomparvero .	La riga ai bordi della strada scomparve .	Subj_sg P1_sg P2_None V_sg	Subj_pl P1_sg P2_None V_pl	Subj_sg P1_pl P2_None V_sg	Subj_pl P1_pl P2_None V_pl	Subj_sg P1_sg P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_sg P1_pl P2_sg V_sg	['La riga', 'al bordo', '', 'scomparve', '.']	['Le righe', 'al bordo', '', 'scomparvero', '.']	['La riga', 'ai bordi', '', 'scomparve', '.']	['Le righe', 'ai bordi', '', 'scomparvero', '.']	['La riga', 'al bordo', 'della strada', 'scomparve', '.']	['Le righe', 'al bordo', 'della strada', 'scomparvero', '.']	['La riga', 'ai bordi', 'della strada', 'scomparve', '.']	Le righe ai bordi della strada scomparvero .	Le righe ai bordi delle strade scomparve .	Le righe ai bordi della strada scomparve .	Le righe ai bordi della strada scomparve .	Le righe al bordo della strada scomparvero .	Le righe ai bordi delle strade scomparvero .	Le righe ai bordi e les strade scomparvero .	Le righe ai bordi della strada delle regioni scomparvero .	True	agreement_error_V	agreement_error_N1	agreement_error_N2	N1_alter	N2_alter	coordination	mis_num	True	False	False	False	False	False	False	False	Subj_pl P1_pl P2_sg V_pl	Subj_pl P1_pl P2_pl V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_pl P2_sg V_sg	Subj_pl P1_sg P2_sg V_pl	Subj_pl P1_pl P2_pl V_pl	Subj_pl P1_pl Conj2_pl V_pl	Subj_pl P1_pl P2_sg P3_pl V_pl	['Le righe', 'ai bordi', 'della strada', 'scomparvero', '.']	['Le righe', 'ai bordi', 'delle strade', 'scomparve', '.']	['Le righe', 'ai bordi', 'della strada', 'scomparve', '.']	['Le righe', 'ai bordi', 'della strada', 'scomparve', '.']	['Le righe', 'al bordo', 'della strada', 'scomparvero', '.']	['Le righe', 'ai bordi', 'delle strade', 'scomparvero', '.']	['Le righe', 'ai bordi', 'e les strade', 'scomparvero', '.']	['Le righe', 'ai bordi', 'della strada', 'delle regioni', 'scomparvero', '.']
