ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
0	Moses strung the fireplace with these lights.	The vines were sown by the villagers.	Hydrogen was seeded into algae by scientists.	The nails were smeared all over the floor.	Vinyl was plastered by the producers.	Figures were strewed with humor by the director.	Bags were loaded with the food.	Aristotle showers curiosity onto visitors.	The priest was strung the ribbon over it.	The miners have to squirt the eggs the sponge.	The fishermen spritz with beer over cheese.	The developers simply rub the pen with laser pointer.	He wraps something under the waist.	The crystals scatters the wizard all over europe.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA2 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass2 VerbPass PNounA5
1	Scientists clean the filter monthly and swash the pipes with the chemicals.	Moisture was smeared by the artist.	Salt was sown on the fields by you.	The seeds were sown on the land.	The room was spurted by this.	The pipes were pumped with regular air by me.	The film was strewed with humor.	The monks sow the vines on the land.	The fishermen were spritzed vinegar over cheese.	The students use the rolled up package to spread the yummy almond butter the cookies.	I carefully swab with the soap over the bulbs.	The novelist strews the humor of the movie.	Merlin scatters gems under the dragon world.	Gasoline pumped Noah into the cooler.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA4 PSubj1	NounBPass2 VerbPass PNounA2
2	The producers plastered the site with artwork.	The dragons were scattered by chaos.	Bandages were wrapped around the waist by Logan.	Whatever was on the wheel was spattered over the floor.	Filling was drizzled by you.	The floor was splashed with water by Jack.	The windows were strung with the ribbon.	Users simply rub fingertips on the screen.	Marshall was wrapped something around the body.	Drizzle coffee the dish.	The band plastered with a big label on the site.	The peppers splatter fine oil from the valley.	People baste vinegar under them.	Wine splash you all over the table.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB1	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA4 PSubj3	NounBPass2 VerbPass PNounA5
3	I pumped the pipes with regular air.	The grain was sown by the monks.	Regular air was pumped into the stove by me.	The contents were sticked in a box.	The suitcase was loaded by the buyer.	The dragon world was scattered with monsters by Merlin.	The surface was splattered with the stuffing.	The tomatoes splatter water all over the grill.	Lewitt and Dubner were seeded sulfur into the earth.	Farmers have to squirt a tiny bit of oil everything.	My child smeared with the flour all over the room.	People baste different types of marinades of seafood.	I brushed mascara under the surface.	The yummy almond butter spread someone all over the pastry.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass4 VerbPass PNounA5
4	I brushed the surface with liquid.	The pad was rubbed by the designers.	Sarcasm was strewed in the figures by the author.	Ropes were sewed onto the boards.	They were swashed by the volunteers.	The hook was hung with posters by the artist.	Bread was spread with the butter.	You have to squirt butter in here.	The editors were smudged suspicion on the words.	Drizzle the syrup the dish.	The phyisician swab with the oil over the bulbs.	The orb scatters gems of the seas.	Users simply rub fingertips under the writing marks.	The grease splatter the noodles all over the grill.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA5 PNounB5	NounBPass2 VerbPass PSubj2	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass5 VerbPass PNounA4
5	Archaeologists clean the filter monthly and swash the counter with the liquid.	The liquid was swabbed by the phyisician.	Butter was spread all over the rice cake by guests.	The sauce was basted over the vegetables.	It was splashed by someone.	A box was sticked with the contents by Alex.	The carpet was sewed with ropes.	The rain spurts the green liquid all over the floor.	The customer was loaded supplies in the luggage.	Someone sprayed some liquid a plastic container.	The tire spatters with whatever was on the wheel over the snow.	Katrina sprayed some of the paint from vegetables.	The chefs drizzle the sugar under the dish.	Carbon seed the researchers into algae.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA5 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA3 PSubj4	NounBPass3 VerbPass PNounA4
6	Farmers have to squirt everything with butter.	Some of the paint was sprayed by me.	Salt was sown on the soil by you.	The dirt was smudged on the words.	Characters were strewed by the author.	Bags were loaded with the food by users.	The luggage was loaded with clothes.	The author strews irony in the book.	The engineers were swashed the fluid over the biomedia.	The workers don't smudge sarcasm the paper.	Aristotle showers with excellent information onto the reader.	The record company plastered a big label of the music industry.	I spritz the sauce under the potatoes.	Dirt spatters whoever over you.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB3	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA3 PSubj3	NounBPass1 VerbPass PNounA1
7	The technician swab the tray with acid.	Packages were loaded by visitors.	Wine was basted over it by locals.	Enthusiasm was showered onto people.	Earth was scattered by Merlin.	The cooktop was splattered with fine oil by burgers.	The bacon was sprinkled with a little hot pepper.	The students brushed mascara onto yellow plastic cups.	Noah was pumped gasoline into the engine.	The hostess will splash water the floor.	The wizard scatters with the crystals all over europe.	The dog spatters the poison for rats.	The cooks spritz beer under the potatoes.	Clothes can load me in bags.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA2 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass4 VerbPass PNounA5
8	It spatters the windshield with whatever was on the wheel.	They were brushed by the bartender.	They were loaded in the box by users.	Brandy was drizzled over the filling.	It was strung by the angels.	It was pumped with steam by Claire.	Earth was scattered with the creature.	The customer can can load clothes in the cart.	The guards were sewed the fabric onto the straps.	The chefs drizzle brandy the dish.	The librarian brushed with liquid over the carpet.	It spatters dirt of mud.	Scientists clean the filter monthly and swash some tank water under the biomedia.	The fluid swash the engineers over the pipes.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB3	NounBPass2 VerbPass PSubj2	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass2 VerbPass PNounA5
9	Somebody spatters the pavement with the poison.	The pen was rubbed by the authors.	The syrup was drizzled over the coffee by the ladies.	They were brushed over the glass.	The ceiling was hung by the artist.	The hook was hung with paintings by grandma.	People were showered with the results.	The villagers sow the seeds on the soil.	They were sewed heavier material onto the boards.	The volunteers swash the liquid the pipes.	Whoever spatters with the mud over the floor.	Logan wraps rope of silk.	Lewitt and Dubner promote a strategy to seed sulfur under the earth.	The powder brushed the students over the carpet.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA5 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass1 VerbPass PNounA3
