	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
0	The computer is broken .	The computer with the program is broken .	The computer with the programs is broken .	The computer with the program of the experiment is broken .	The computer with the programs of the experiment is broken .	The computer with the program of the experiments is broken .	The computer with the programs of the experiments is broken .	The computers are broken .	The computers with the program are broken .	The computers with the programs are broken .	The computers with the program of the experiment are broken .	The computers with the programs of the experiment are broken .	The computers with the program of the experiments are broken .	The computers with the programs of the experiments are broken .	The computer are broken .	The computer with the program are broken .	The computer with the programs are broken .	The computer with the program of the experiment are broken .	The computer with the programs of the experiment are broken .	The computer with the program of the experiments are broken .	The computer with the programs of the experiments are broken .	The computers is broken .	The computers with the program is broken .	The computers with the programs is broken .	The computers with the program of the experiment is broken .	The computers with the programs of the experiment is broken .	The computers with the program of the experiments is broken .	The computers with the programs of the experiments is broken .
1	The exhibition was very successful .	The exhibition with the painting was very successful .	The exhibition with the paintings was very successful .	The exhibition with the painting of the child was very successful .	The exhibition with the paintings of the child was very successful .	The exhibition with the painting of the children was very successful .	The exhibition with the paintings of the children was very successful .	The exhibitions were very successful .	The exhibitions with the painting were very successful .	The exhibitions with the paintings were very successful .	The exhibitions with the painting of the child were very successful .	The exhibitions with the paintings of the child were very successful .	The exhibitions with the painting of the children were very successful .	The exhibitions with the paintings of the children were very successful .	The exhibition were very successful .	The exhibition with the painting were very successful .	The exhibition with the paintings were very successful .	The exhibition with the painting of the child were very successful .	The exhibition with the paintings of the child were very successful .	The exhibition with the painting of the children were very successful .	The exhibition with the paintings of the children were very successful .	The exhibitions was very successful .	The exhibitions with the painting was very successful .	The exhibitions with the paintings was very successful .	The exhibitions with the painting of the child was very successful .	The exhibitions with the paintings of the child was very successful .	The exhibitions with the painting of the children was very successful .	The exhibitions with the paintings of the children was very successful .
2	The box is on the shelf .	The box with the key is on the shelf .	The box with the keys is on the shelf .	The box with the key of the cell is on the shelf .	The box with the keys of the cell is on the shelf .	The box with the key of the cells is on the shelf .	The box with the keys of the cells is on the shelf .	The boxes are on the shelf .	The boxes with the key are on the shelf .	The boxes with the keys are on the shelf .	The boxes with the key of the cell are on the shelf .	The boxes with the keys of the cell are on the shelf .	The boxes with the key of the cells are on the shelf .	The boxes with the keys of the cells are on the shelf .	The box are on the shelf .	The box with the key are on the shelf .	The box with the keys are on the shelf .	The box with the key of the cell are on the shelf .	The box with the keys of the cell are on the shelf .	The box with the key of the cells are on the shelf .	The box with the keys of the cells are on the shelf .	The boxes is on the shelf .	The boxes with the key is on the shelf .	The boxes with the keys is on the shelf .	The boxes with the key of the cell is on the shelf .	The boxes with the keys of the cell is on the shelf .	The boxes with the key of the cells is on the shelf .	The boxes with the keys of the cells is on the shelf .
3	The book excited the public .	The book on the privatization excited the public .	The book and the privatizations excited the public .	The book on the privatization of the company excited the public .	The book and the privatizations of the company excited the public .	The book on the privatization of the companies excited the public .	The book and the privatizations of the companies excited the public .	The books excited the public .	The books on the privatization excited the public .	The books and the privatizations excited the public .	The books on the privatization of the company excited the public .	The books and the privatizations of the company excited the public .	The books on the privatization of the companies excited the public .	The books and the privatizations of the companies excited the public .	The book excited the public .	The book on the privatization excited the public .	The book and the privatizations excited the public .	The book on the privatization of the company excited the public .	The book and the privatizations of the company excited the public .	The book on the privatization of the companies excited the public .	The book and the privatizations of the companies excited the public .	The books excited the public .	The books on the privatization excited the public .	The books and the privatizations excited the public .	The books on the privatization of the company excited the public .	The books and the privatizations of the company excited the public .	The books on the privatization of the companies excited the public .	The books and the privatizations of the companies excited the public .
4	Th conference started later than planned .	Th conference on the history started later than planned .	Th conference on the histories started later than planned .	Th conference on the history of the war started later than planned .	Th conference on the histories of the war started later than planned .	Th conference on the history of the wars started later than planned .	Th conference on the histories of the wars started later than planned .	The conferences started later than planned .	The conferences on the history started later than planned .	The conferences on the histories started later than planned .	The conferences on the history of the war started later than planned .	The conferences on the histories of the war started later than planned .	The conferences on the history of the wars started later than planned .	The conferences on the histories of the wars started later than planned .	Th conference started later than planned .	Th conference on the history started later than planned .	Th conference on the histories started later than planned .	Th conference on the history of the war started later than planned .	Th conference on the histories of the war started later than planned .	Th conference on the history of the wars started later than planned .	Th conference on the histories of the wars started later than planned .	The conferences started later than planned .	The conferences on the history started later than planned .	The conferences on the histories started later than planned .	The conferences on the history of the war started later than planned .	The conferences on the histories of the war started later than planned .	The conferences on the history of the wars started later than planned .	The conferences on the histories of the wars started later than planned .
5	The study will be published soon .	The study on the effect will be published soon .	The study on the effects will be published soon .	The study on the effect of the drug will be published soon .	The study on the effects of the drug will be published soon .	The study on the effect of the drugs will be published soon .	The study on the effects of the drugs will be published soon .	The studies will be published soon .	The studies on the effect will be published soon .	The studies on the effects will be published soon .	The studies on the effect of the drug will be published soon .	The studies on the effects of the drug will be published soon .	The studies on the effect of the drugs will be published soon .	The studies on the effects of the drugs will be published soon .	The study will be published soon .	The study on the effect will be published soon .	The study on the effects will be published soon .	The study on the effect of the drug will be published soon .	The study on the effects of the drug will be published soon .	The study on the effect of the drugs will be published soon .	The study on the effects of the drugs will be published soon .	The studies will be published soon .	The studies on the effect will be published soon .	The studies on the effects will be published soon .	The studies on the effect of the drug will be published soon .	The studies on the effects of the drug will be published soon .	The studies on the effect of the drugs will be published soon .	The studies on the effects of the drugs will be published soon .
6	The theory divides the researchers .	The theory on the song divides the researchers .	The theory on the songs divides the researchers .	The theory on the song of the canary divides the researchers .	The theory on the songs of the canary divides the researchers .	The theory on the song of the canaries divides the researchers .	The theory on the songs of the canaries divides the researchers .	The theories divide the researchers .	The theories on the song divide the researchers .	The theories on the songs divide the researchers .	The theories on the song of the canary divide the researchers .	The theories on the songs of the canary divide the researchers .	The theories on the song of the canaries divide the researchers .	The theories on the songs of the canaries divide the researchers .	The theory divide the researchers .	The theory on the song divide the researchers .	The theory on the songs divide the researchers .	The theory on the song of the canary divide the researchers .	The theory on the songs of the canary divide the researchers .	The theory on the song of the canaries divide the researchers .	The theory on the songs of the canaries divide the researchers .	The theories divides the researchers .	The theories on the song divides the researchers .	The theories on the songs divides the researchers .	The theories on the song of the canary divides the researchers .	The theories on the songs of the canary divides the researchers .	The theories on the song of the canaries divides the researchers .	The theories on the songs of the canaries divides the researchers .
7	The writing angered her mother .	The writing on the door angered her mother .	The writing on the doors angered her mother .	The writing on the door of the room angered her mother .	The writing on the doors of the room angered her mother .	The writing on the door of the rooms angered her mother .	The writing on the doors of the rooms angered her mother .	The writings angered her mother .	The writings on the door angered her mother .	The writings on the doors angered her mother .	The writings on the door of the room angered her mother .	The writings on the doors of the room angered her mother .	The writings on the door of the rooms angered her mother .	The writings on the doors of the rooms angered her mother .	The writing angered her mother .	The writing on the door angered her mother .	The writing on the doors angered her mother .	The writing on the door of the room angered her mother .	The writing on the doors of the room angered her mother .	The writing on the door of the rooms angered her mother .	The writing on the doors of the rooms angered her mother .	The writings angered her mother .	The writings on the door angered her mother .	The writings on the doors angered her mother .	The writings on the door of the room angered her mother .	The writings on the doors of the room angered her mother .	The writings on the door of the rooms angered her mother .	The writings on the doors of the rooms angered her mother .
8	The leaflet was of great interest .	The leaflet on the issue was of great interest .	The leaflet on the issues was of great interest .	The leaflet on the issue in the community was of great interest .	The leaflet on the issues in the community was of great interest .	The leaflet on the issue in the communities was of great interest .	The leaflet on the issues in the communities was of great interest .	The leaflets were of great interest .	The leaflets on the issue were of great interest .	The leaflets on the issues were of great interest .	The leaflets on the issue in the community were of great interest .	The leaflets on the issues in the community were of great interest .	The leaflets on the issue in the communities were of great interest .	The leaflets on the issues in the communities were of great interest .	The leaflet were of great interest .	The leaflet on the issue were of great interest .	The leaflet on the issues were of great interest .	The leaflet on the issue in the community were of great interest .	The leaflet on the issues in the community were of great interest .	The leaflet on the issue in the communities were of great interest .	The leaflet on the issues in the communities were of great interest .	The leaflets was of great interest .	The leaflets on the issue was of great interest .	The leaflets on the issues was of great interest .	The leaflets on the issue in the community was of great interest .	The leaflets on the issues in the community was of great interest .	The leaflets on the issue in the communities was of great interest .	The leaflets on the issues in the communities was of great interest .
9	The line has disappeared .	The line on the side has disappeared .	The line on the sides has disappeared .	The line on the side of the street has disappeared .	The line on the sides of the street has disappeared .	The line on the side of the streets has disappeared .	The line on the sides of the streets has disappeared .	The lines have disappeared .	The lines on the side have disappeared .	The lines on the sides have disappeared .	The lines on the side of the street have disappeared .	The lines on the sides of the street have disappeared .	The lines on the side of the streets have disappeared .	The lines on the sides of the streets have disappeared .	The line have disappeared .	The line on the side have disappeared .	The line on the sides have disappeared .	The line on the side of the street have disappeared .	The line on the sides of the street have disappeared .	The line on the side of the streets have disappeared .	The line on the sides of the streets have disappeared .	The lines has disappeared .	The lines on the side has disappeared .	The lines on the sides has disappeared .	The lines on the side of the street has disappeared .	The lines on the sides of the street has disappeared .	The lines on the side of the streets has disappeared .	The lines on the sides of the streets has disappeared .
