Prefix1;np-s;np-p;pp1-s;pp1-p;Conj1sg;Conj1pl;pp2-s;pp2-p;Conj2sg;Conj2pl;P3sg;P3pl;Conj3sg;Conj3pl;ROC;vp-s;vp-p;.
Jean suppose que;L’ ordinateur ;Les ordinateurs;avec le programme;avec les programmes;et le programme;et les programmes;de l’ expérience;des expériences;et l’ expérience;et les expériences;de l’adulte;des adultes;et l’adulte;et les adultes;dont Jean se servait;est en panne;sont en panne;.
Le gouvernement a affirmé que ;L’ exposition ;Les expositions ;avec la peinture ;avec les peintures ;et la peinture ;et les peintures ;de l’ enfant;des enfants;et l’ enfant;et les enfants;de la crèche;des crèches;et la crèche;et les crèches;dont le gouvernement n’ a pas fait de rapport;a rencontré un grand succès;ont rencontré un grand succès;.
Marie dit que;Le trousseau ;Les trousseaux;avec la clé;avec les clés;et la clé;et les clés;de la cellule;des cellules;et la cellule;et les cellules;du prisonnier;des prisonniers;et le prisonnier;et les prisonniers;dont Marie se sert;repose sur l’étagère;reposent sur l’étagère;.
L’ éditeur a trouvé que;Le livre ;Les livres ;sur la privatisation;sur les privatisations;et la privatisation;et les privatisations;de l’ entreprise;des entreprises;et l’ entreprise;et les entreprises;dans la ville;dans les villes;et la ville;et les villes;dont l’ éditeur est fier;a enthousiasmé l’auditoire;ont enthousiasmé l’auditoire;.
L’ organizateur m’ a informé que;La conférence ;Les conférences ;sur l’ histoire ;sur les histoires ;et l’histoire ;et les histoires ;de la guerre;des guerres;et la guerre;et les guerres;de succession;des successions;et le succession;et les successions;dont l’ organizateur m’ a parlé;a commencé plus tard que prévu;ont commencé plus tard que prévu;.
L’ auteur croit que;L’ étude ;Les études ;sur l’ effet;sur les effet;et l’ effet;et les effets;de la drogue;des drogues;et la drogue;et les drogues;de la région;des régions;et la région;et les régions;que l’ auteur finance;apparaîtra bientôt;apparaîtront bientôt;.
L’ article a rapporté que;La théorie ;Les théories ;sur le chant;sur les chants;et le chant;et les chants;du canari;des canaris;et le canari;et les canaris;de la montagne;des montagnes;et la montagne;et les montagnes;dont l’ article parle;divise les chercheurs;divisent les chercheurs;.
Ma voisine a raconté que;L’ inscription ;Les inscriptions ;sur la porte  ;sur les portes  ;et la porte  ;et les portes  ;de la chambre;des chambres;et  la chambre;et les chambres;de la fille;des filles;et la fille;et les filles;que ma voisine appréciait;a énervé sa mère;ont énervé sa mère;.
Le journal a mentionné que;Le dépliant ;Les dépliants ;sur l’ enjeu ;sur les enjeux ;et l’ enjeu ;et les enjeux;de la communauté;des communautés;et la communauté;et les communautés;de la campagne;des campagnes;et la campagne;et les campagnes;que le journal mentionnait;a beaucoup intéressé;ont beaucoup intéressé;.
Ma cousine m’ a dit que;La ligne ;Les lignes ;sur le bord;sur les bords;et le bord;et les bords;de la route;des routes;et la route;et les routes;de la région;des régions;et la région;et les régions;que ma cousine remarquait;a disparu;ont disparu;.
Julie a réalisé que;La nappe ;Les nappes ;sur la table;sur les tables;et la table;et les tables;du banquet;des banquets;et le banquet;et les banquets;de la grand-mère;des grand-mères;et la grand-mère;et les grand-mères;que la mère nettoyait souvent;brille au soleil;brillent au soleil;.
Le médecin constate que;Le récit ;Les récits ;de la souffrance ;de les souffrances ;et la souffrance ;et les souffrances ;dans l’ hôpital;dans les hôpitaux;et l’ hôpital;et les hôpitaux;du département;des départements;et le département;et les départements;que le médecin écoute;touche les participants;touchent les participants;.
