	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
0	L' ordinateur est en panne .	L' ordinateur avec le programme est en panne .	L' ordinateur avec les programmes est en panne .	L' ordinateur avec le programme de l' expérience est en panne .	L' ordinateur avec les programmes de l' expérience est en panne .	L' ordinateur avec le programme des expériences est en panne .	L' ordinateur avec les programmes des expériences est en panne .	Les ordinateurs sont en panne .	Les ordinateurs avec le programme sont en panne .	Les ordinateurs avec les programmes sont en panne .	Les ordinateurs avec le programme de l' expérience sont en panne .	Les ordinateurs avec les programmes de l' expérience sont en panne .	Les ordinateurs avec le programme des expériences sont en panne .	Les ordinateurs avec les programmes des expériences sont en panne .	L' ordinateur sont en panne .	L' ordinateur avec le programme sont en panne .	L' ordinateur avec les programmes sont en panne .	L' ordinateur avec le programme de l' expérience sont en panne .	L' ordinateur avec les programmes de l' expérience sont en panne .	L' ordinateur avec le programme des expériences sont en panne .	L' ordinateur avec les programmes des expériences sont en panne .	Les ordinateurs est en panne .	Les ordinateurs avec le programme est en panne .	Les ordinateurs avec les programmes est en panne .	Les ordinateurs avec le programme de l' expérience est en panne .	Les ordinateurs avec les programmes de l' expérience est en panne .	Les ordinateurs avec le programme des expériences est en panne .	Les ordinateurs avec les programmes des expériences est en panne .
1	L' exposition a rencontré un grand succès .	L' exposition avec la peinture a rencontré un grand succès .	L' exposition avec les peintures a rencontré un grand succès .	L' exposition avec la peinture de l' enfant a rencontré un grand succès .	L' exposition avec les peintures de l' enfant a rencontré un grand succès .	L' exposition avec la peinture des enfants a rencontré un grand succès .	L' exposition avec les peintures des enfants a rencontré un grand succès .	Les expositions ont rencontré un grand succès .	Les expositions avec la peinture ont rencontré un grand succès .	Les expositions avec les peintures ont rencontré un grand succès .	Les expositions avec la peinture de l' enfant ont rencontré un grand succès .	Les expositions avec les peintures de l' enfant ont rencontré un grand succès .	Les expositions avec la peinture des enfants ont rencontré un grand succès .	Les expositions avec les peintures des enfants ont rencontré un grand succès .	L' exposition ont rencontré un grand succès .	L' exposition avec la peinture ont rencontré un grand succès .	L' exposition avec les peintures ont rencontré un grand succès .	L' exposition avec la peinture de l' enfant ont rencontré un grand succès .	L' exposition avec les peintures de l' enfant ont rencontré un grand succès .	L' exposition avec la peinture des enfants ont rencontré un grand succès .	L' exposition avec les peintures des enfants ont rencontré un grand succès .	Les expositions a rencontré un grand succès .	Les expositions avec la peinture a rencontré un grand succès .	Les expositions avec les peintures a rencontré un grand succès .	Les expositions avec la peinture de l' enfant a rencontré un grand succès .	Les expositions avec les peintures de l' enfant a rencontré un grand succès .	Les expositions avec la peinture des enfants a rencontré un grand succès .	Les expositions avec les peintures des enfants a rencontré un grand succès .
2	Le trousseau repose sur l’étagère .	Le trousseau avec la clé repose sur l’étagère .	Le trousseau avec les clés repose sur l’étagère .	Le trousseau avec la clé de la cellule repose sur l’étagère .	Le trousseau avec les clés de la cellule repose sur l’étagère .	Le trousseau avec la clé des cellules repose sur l’étagère .	Le trousseau avec les clés des cellules repose sur l’étagère .	Les trousseaux reposent sur l’étagère .	Les trousseaux avec la clé reposent sur l’étagère .	Les trousseaux avec les clés reposent sur l’étagère .	Les trousseaux avec la clé de la cellule reposent sur l’étagère .	Les trousseaux avec les clés de la cellule reposent sur l’étagère .	Les trousseaux avec la clé des cellules reposent sur l’étagère .	Les trousseaux avec les clés des cellules reposent sur l’étagère .	Le trousseau reposent sur l’étagère .	Le trousseau avec la clé reposent sur l’étagère .	Le trousseau avec les clés reposent sur l’étagère .	Le trousseau avec la clé de la cellule reposent sur l’étagère .	Le trousseau avec les clés de la cellule reposent sur l’étagère .	Le trousseau avec la clé des cellules reposent sur l’étagère .	Le trousseau avec les clés des cellules reposent sur l’étagère .	Les trousseaux repose sur l’étagère .	Les trousseaux avec la clé repose sur l’étagère .	Les trousseaux avec les clés repose sur l’étagère .	Les trousseaux avec la clé de la cellule repose sur l’étagère .	Les trousseaux avec les clés de la cellule repose sur l’étagère .	Les trousseaux avec la clé des cellules repose sur l’étagère .	Les trousseaux avec les clés des cellules repose sur l’étagère .
3	Le livre a enthousiasmé l’auditoire .	Le livre sur la privatisation a enthousiasmé l’auditoire .	Le livre sur les privatisations a enthousiasmé l’auditoire .	Le livre sur la privatisation de l' entreprise a enthousiasmé l’auditoire .	Le livre sur les privatisations de l' entreprise a enthousiasmé l’auditoire .	Le livre sur la privatisation des entreprises a enthousiasmé l’auditoire .	Le livre sur les privatisations des entreprises a enthousiasmé l’auditoire .	Les livres ont enthousiasmé l’auditoire .	Les livres sur la privatisation ont enthousiasmé l’auditoire .	Les livres sur les privatisations ont enthousiasmé l’auditoire .	Les livres sur la privatisation de l' entreprise ont enthousiasmé l’auditoire .	Les livres sur les privatisations de l' entreprise ont enthousiasmé l’auditoire .	Les livres sur la privatisation des entreprises ont enthousiasmé l’auditoire .	Les livres sur les privatisations des entreprises ont enthousiasmé l’auditoire .	Le livre ont enthousiasmé l’auditoire .	Le livre sur la privatisation ont enthousiasmé l’auditoire .	Le livre sur les privatisations ont enthousiasmé l’auditoire .	Le livre sur la privatisation de l' entreprise ont enthousiasmé l’auditoire .	Le livre sur les privatisations de l' entreprise ont enthousiasmé l’auditoire .	Le livre sur la privatisation des entreprises ont enthousiasmé l’auditoire .	Le livre sur les privatisations des entreprises ont enthousiasmé l’auditoire .	Les livres a enthousiasmé l’auditoire .	Les livres sur la privatisation a enthousiasmé l’auditoire .	Les livres sur les privatisations a enthousiasmé l’auditoire .	Les livres sur la privatisation de l' entreprise a enthousiasmé l’auditoire .	Les livres sur les privatisations de l' entreprise a enthousiasmé l’auditoire .	Les livres sur la privatisation des entreprises a enthousiasmé l’auditoire .	Les livres sur les privatisations des entreprises a enthousiasmé l’auditoire .
4	La conférence a commencé plus tard que prévu .	La conférence sur l' histoire a commencé plus tard que prévu .	La conférence sur les histoires a commencé plus tard que prévu .	La conférence sur l' histoire de la guerre a commencé plus tard que prévu .	La conférence sur les histoires de la guerre a commencé plus tard que prévu .	La conférence sur l' histoire des guerres a commencé plus tard que prévu .	La conférence sur les histoires des guerres a commencé plus tard que prévu .	Les conférences ont commencé plus tard que prévu .	Les conférences sur l' histoire ont commencé plus tard que prévu .	Les conférences sur les histoires ont commencé plus tard que prévu .	Les conférences sur l' histoire de la guerre ont commencé plus tard que prévu .	Les conférences sur les histoires de la guerre ont commencé plus tard que prévu .	Les conférences sur l' histoire des guerres ont commencé plus tard que prévu .	Les conférences sur les histoires des guerres ont commencé plus tard que prévu .	La conférence ont commencé plus tard que prévu .	La conférence sur l' histoire ont commencé plus tard que prévu .	La conférence sur les histoires ont commencé plus tard que prévu .	La conférence sur l' histoire de la guerre ont commencé plus tard que prévu .	La conférence sur les histoires de la guerre ont commencé plus tard que prévu .	La conférence sur l' histoire des guerres ont commencé plus tard que prévu .	La conférence sur les histoires des guerres ont commencé plus tard que prévu .	Les conférences a commencé plus tard que prévu .	Les conférences sur l' histoire a commencé plus tard que prévu .	Les conférences sur les histoires a commencé plus tard que prévu .	Les conférences sur l' histoire de la guerre a commencé plus tard que prévu .	Les conférences sur les histoires de la guerre a commencé plus tard que prévu .	Les conférences sur l' histoire des guerres a commencé plus tard que prévu .	Les conférences sur les histoires des guerres a commencé plus tard que prévu .
5	L' étude apparaîtra bientôt .	L' étude sur l' effet apparaîtra bientôt .	L' étude sur les effet apparaîtra bientôt .	L' étude sur l' effet de la drogue apparaîtra bientôt .	L' étude sur les effet de la drogue apparaîtra bientôt .	L' étude sur l' effet des drogues apparaîtra bientôt .	L' étude sur les effet des drogues apparaîtra bientôt .	Les études apparaîtront bientôt .	Les études sur l' effet apparaîtront bientôt .	Les études sur les effet apparaîtront bientôt .	Les études sur l' effet de la drogue apparaîtront bientôt .	Les études sur les effet de la drogue apparaîtront bientôt .	Les études sur l' effet des drogues apparaîtront bientôt .	Les études sur les effet des drogues apparaîtront bientôt .	L' étude apparaîtront bientôt .	L' étude sur l' effet apparaîtront bientôt .	L' étude sur les effet apparaîtront bientôt .	L' étude sur l' effet de la drogue apparaîtront bientôt .	L' étude sur les effet de la drogue apparaîtront bientôt .	L' étude sur l' effet des drogues apparaîtront bientôt .	L' étude sur les effet des drogues apparaîtront bientôt .	Les études apparaîtra bientôt .	Les études sur l' effet apparaîtra bientôt .	Les études sur les effet apparaîtra bientôt .	Les études sur l' effet de la drogue apparaîtra bientôt .	Les études sur les effet de la drogue apparaîtra bientôt .	Les études sur l' effet des drogues apparaîtra bientôt .	Les études sur les effet des drogues apparaîtra bientôt .
6	La théorie divise les chercheurs .	La théorie sur le chant divise les chercheurs .	La théorie sur les chants divise les chercheurs .	La théorie sur le chant du canari divise les chercheurs .	La théorie sur les chants du canari divise les chercheurs .	La théorie sur le chant des canaris divise les chercheurs .	La théorie sur les chants des canaris divise les chercheurs .	Les théories divisent les chercheurs .	Les théories sur le chant divisent les chercheurs .	Les théories sur les chants divisent les chercheurs .	Les théories sur le chant du canari divisent les chercheurs .	Les théories sur les chants du canari divisent les chercheurs .	Les théories sur le chant des canaris divisent les chercheurs .	Les théories sur les chants des canaris divisent les chercheurs .	La théorie divisent les chercheurs .	La théorie sur le chant divisent les chercheurs .	La théorie sur les chants divisent les chercheurs .	La théorie sur le chant du canari divisent les chercheurs .	La théorie sur les chants du canari divisent les chercheurs .	La théorie sur le chant des canaris divisent les chercheurs .	La théorie sur les chants des canaris divisent les chercheurs .	Les théories divise les chercheurs .	Les théories sur le chant divise les chercheurs .	Les théories sur les chants divise les chercheurs .	Les théories sur le chant du canari divise les chercheurs .	Les théories sur les chants du canari divise les chercheurs .	Les théories sur le chant des canaris divise les chercheurs .	Les théories sur les chants des canaris divise les chercheurs .
7	L' inscription a énervé sa mère .	L' inscription sur la porte a énervé sa mère .	L' inscription sur les portes a énervé sa mère .	L' inscription sur la porte de la chambre a énervé sa mère .	L' inscription sur les portes de la chambre a énervé sa mère .	L' inscription sur la porte des chambres a énervé sa mère .	L' inscription sur les portes des chambres a énervé sa mère .	Les inscriptions ont énervé sa mère .	Les inscriptions sur la porte ont énervé sa mère .	Les inscriptions sur les portes ont énervé sa mère .	Les inscriptions sur la porte de la chambre ont énervé sa mère .	Les inscriptions sur les portes de la chambre ont énervé sa mère .	Les inscriptions sur la porte des chambres ont énervé sa mère .	Les inscriptions sur les portes des chambres ont énervé sa mère .	L' inscription ont énervé sa mère .	L' inscription sur la porte ont énervé sa mère .	L' inscription sur les portes ont énervé sa mère .	L' inscription sur la porte de la chambre ont énervé sa mère .	L' inscription sur les portes de la chambre ont énervé sa mère .	L' inscription sur la porte des chambres ont énervé sa mère .	L' inscription sur les portes des chambres ont énervé sa mère .	Les inscriptions a énervé sa mère .	Les inscriptions sur la porte a énervé sa mère .	Les inscriptions sur les portes a énervé sa mère .	Les inscriptions sur la porte de la chambre a énervé sa mère .	Les inscriptions sur les portes de la chambre a énervé sa mère .	Les inscriptions sur la porte des chambres a énervé sa mère .	Les inscriptions sur les portes des chambres a énervé sa mère .
8	Le dépliant a beaucoup intéressé .	Le dépliant sur l' enjeu a beaucoup intéressé .	Le dépliant sur les enjeux a beaucoup intéressé .	Le dépliant sur l' enjeu de la communauté a beaucoup intéressé .	Le dépliant sur les enjeux de la communauté a beaucoup intéressé .	Le dépliant sur l' enjeu des communautés a beaucoup intéressé .	Le dépliant sur les enjeux des communautés a beaucoup intéressé .	Les dépliants ont beaucoup intéressé .	Les dépliants sur l' enjeu ont beaucoup intéressé .	Les dépliants sur les enjeux ont beaucoup intéressé .	Les dépliants sur l' enjeu de la communauté ont beaucoup intéressé .	Les dépliants sur les enjeux de la communauté ont beaucoup intéressé .	Les dépliants sur l' enjeu des communautés ont beaucoup intéressé .	Les dépliants sur les enjeux des communautés ont beaucoup intéressé .	Le dépliant ont beaucoup intéressé .	Le dépliant sur l' enjeu ont beaucoup intéressé .	Le dépliant sur les enjeux ont beaucoup intéressé .	Le dépliant sur l' enjeu de la communauté ont beaucoup intéressé .	Le dépliant sur les enjeux de la communauté ont beaucoup intéressé .	Le dépliant sur l' enjeu des communautés ont beaucoup intéressé .	Le dépliant sur les enjeux des communautés ont beaucoup intéressé .	Les dépliants a beaucoup intéressé .	Les dépliants sur l' enjeu a beaucoup intéressé .	Les dépliants sur les enjeux a beaucoup intéressé .	Les dépliants sur l' enjeu de la communauté a beaucoup intéressé .	Les dépliants sur les enjeux de la communauté a beaucoup intéressé .	Les dépliants sur l' enjeu des communautés a beaucoup intéressé .	Les dépliants sur les enjeux des communautés a beaucoup intéressé .
9	La ligne a disparu .	La ligne sur le bord a disparu .	La ligne sur les bords a disparu .	La ligne sur le bord de la route a disparu .	La ligne sur les bords de la route a disparu .	La ligne sur le bord des routes a disparu .	La ligne sur les bords des routes a disparu .	Les lignes ont disparu .	Les lignes sur le bord ont disparu .	Les lignes sur les bords ont disparu .	Les lignes sur le bord de la route ont disparu .	Les lignes sur les bords de la route ont disparu .	Les lignes sur le bord des routes ont disparu .	Les lignes sur les bords des routes ont disparu .	La ligne ont disparu .	La ligne sur le bord ont disparu .	La ligne sur les bords ont disparu .	La ligne sur le bord de la route ont disparu .	La ligne sur les bords de la route ont disparu .	La ligne sur le bord des routes ont disparu .	La ligne sur les bords des routes ont disparu .	Les lignes a disparu .	Les lignes sur le bord a disparu .	Les lignes sur les bords a disparu .	Les lignes sur le bord de la route a disparu .	Les lignes sur les bords de la route a disparu .	Les lignes sur le bord des routes a disparu .	Les lignes sur les bords des routes a disparu .
