	np-s vp-s	np-s pp1-s vp-s	np-s pp1-p vp-s	np-s pp1-s pp2-s vp-s	np-s pp1-p pp2-s vp-s	np-s pp1-s pp2-p vp-s	np-s pp1-p pp2-p vp-s	np-p vp-p	np-p pp1-s vp-p	np-p pp1-p vp-p	np-p pp1-s pp2-s vp-p	np-p pp1-p pp2-s vp-p	np-p pp1-s pp2-p vp-p	np-p pp1-p pp2-p vp-p	np-s vp-p	np-s pp1-s vp-p	np-s pp1-p vp-p	np-s pp1-s pp2-s vp-p	np-s pp1-p pp2-s vp-p	np-s pp1-s pp2-p vp-p	np-s pp1-p pp2-p vp-p	np-p vp-s	np-p pp1-s vp-s	np-p pp1-p vp-s	np-p pp1-s pp2-s vp-s	np-p pp1-p pp2-s vp-s	np-p pp1-s pp2-p vp-s	np-p pp1-p pp2-p vp-s
0	Il computer non funziona .	Il computer col programma non funziona .	Il computer coi programmi non funziona .	Il computer col programma dell' esperimento non funziona .	Il computer coi programmi dell' esperimento non funziona .	Il computer col programma degli esperimenti non funziona .	Il computer coi programmi degli esperimenti non funziona .	I computer non funzionano .	I computer col programma non funzionano .	I computer coi programmi non funzionano .	I computer col programma dell' esperimento non funzionano .	I computer coi programmi dell' esperimento non funzionano .	I computer col programma degli esperimenti non funzionano .	I computer coi programmi degli esperimenti non funzionano .	Il computer non funzionano .	Il computer col programma non funzionano .	Il computer coi programmi non funzionano .	Il computer col programma dell' esperimento non funzionano .	Il computer coi programmi dell' esperimento non funzionano .	Il computer col programma degli esperimenti non funzionano .	Il computer coi programmi degli esperimenti non funzionano .	I computer non funziona .	I computer col programma non funziona .	I computer coi programmi non funziona .	I computer col programma dell' esperimento non funziona .	I computer coi programmi dell' esperimento non funziona .	I computer col programma degli esperimenti non funziona .	I computer coi programmi degli esperimenti non funziona .
1	La mostra ha avuto molto successo .	La mostra col disegno ha avuto molto successo .	La mostra coi disegni ha avuto molto successo .	La mostra col disegno del bambino ha avuto molto successo .	La mostra coi disegni del bambino ha avuto molto successo .	La mostra col disegno dei bambini ha avuto molto successo .	La mostra coi disegni dei bambini ha avuto molto successo .	Le mostre hanno avuto molto successo .	Le mostre col disegno hanno avuto molto successo .	Le mostre coi disegni hanno avuto molto successo .	Le mostre col disegno del bambino hanno avuto molto successo .	Le mostre coi disegni del bambino hanno avuto molto successo .	Le mostre col disegno dei bambini hanno avuto molto successo .	Le mostre coi disegni dei bambini hanno avuto molto successo .	La mostra hanno avuto molto successo .	La mostra col disegno hanno avuto molto successo .	La mostra coi disegni hanno avuto molto successo .	La mostra col disegno del bambino hanno avuto molto successo .	La mostra coi disegni del bambino hanno avuto molto successo .	La mostra col disegno dei bambini hanno avuto molto successo .	La mostra coi disegni dei bambini hanno avuto molto successo .	Le mostre ha avuto molto successo .	Le mostre col disegno ha avuto molto successo .	Le mostre coi disegni ha avuto molto successo .	Le mostre col disegno del bambino ha avuto molto successo .	Le mostre coi disegni del bambino ha avuto molto successo .	Le mostre col disegno dei bambini ha avuto molto successo .	Le mostre coi disegni dei bambini ha avuto molto successo .
2	Il mazzo si trova sullo scaffale .	Il mazzo con la chiave si trova sullo scaffale .	Il mazzo con le chiavi si trova sullo scaffale .	Il mazzo con la chiave della cella si trova sullo scaffale .	Il mazzo con le chiavi della cella si trova sullo scaffale .	Il mazzo con la chiave delle celle si trova sullo scaffale .	Il mazzo con le chiavi delle celle si trova sullo scaffale .	I mazzi si trovano sullo scaffale .	I mazzi con la chiave si trovano sullo scaffale .	I mazzi con le chiavi si trovano sullo scaffale .	I mazzi con la chiave della cella si trovano sullo scaffale .	I mazzi con le chiavi della cella si trovano sullo scaffale .	I mazzi con la chiave delle celle si trovano sullo scaffale .	I mazzi con le chiavi delle celle si trovano sullo scaffale .	Il mazzo si trovano sullo scaffale .	Il mazzo con la chiave si trovano sullo scaffale .	Il mazzo con le chiavi si trovano sullo scaffale .	Il mazzo con la chiave della cella si trovano sullo scaffale .	Il mazzo con le chiavi della cella si trovano sullo scaffale .	Il mazzo con la chiave delle celle si trovano sullo scaffale .	Il mazzo con le chiavi delle celle si trovano sullo scaffale .	I mazzi si trova sullo scaffale .	I mazzi con la chiave si trova sullo scaffale .	I mazzi con le chiavi si trova sullo scaffale .	I mazzi con la chiave della cella si trova sullo scaffale .	I mazzi con le chiavi della cella si trova sullo scaffale .	I mazzi con la chiave delle celle si trova sullo scaffale .	I mazzi con le chiavi delle celle si trova sullo scaffale .
3	Il libro ha entusiasmato la sala .	Il libro sulla privatizzazione ha entusiasmato la sala .	Il libro sulle privatizzazioni ha entusiasmato la sala .	Il libro sulla privatizzazione della ditta ha entusiasmato la sala .	Il libro sulle privatizzazioni della ditta ha entusiasmato la sala .	Il libro sulla privatizzazione delle ditte ha entusiasmato la sala .	Il libro sulle privatizzazioni delle ditte ha entusiasmato la sala .	I libri hanno entusiasmato la sala .	I libri sulla privatizzazione hanno entusiasmato la sala .	I libri sulle privatizzazioni hanno entusiasmato la sala .	I libri sulla privatizzazione della ditta hanno entusiasmato la sala .	I libri sulle privatizzazioni della ditta hanno entusiasmato la sala .	I libri sulla privatizzazione delle ditte hanno entusiasmato la sala .	I libri sulle privatizzazioni delle ditte hanno entusiasmato la sala .	Il libro hanno entusiasmato la sala .	Il libro sulla privatizzazione hanno entusiasmato la sala .	Il libro sulle privatizzazioni hanno entusiasmato la sala .	Il libro sulla privatizzazione della ditta hanno entusiasmato la sala .	Il libro sulle privatizzazioni della ditta hanno entusiasmato la sala .	Il libro sulla privatizzazione delle ditte hanno entusiasmato la sala .	Il libro sulle privatizzazioni delle ditte hanno entusiasmato la sala .	I libri ha entusiasmato la sala .	I libri sulla privatizzazione ha entusiasmato la sala .	I libri sulle privatizzazioni ha entusiasmato la sala .	I libri sulla privatizzazione della ditta ha entusiasmato la sala .	I libri sulle privatizzazioni della ditta ha entusiasmato la sala .	I libri sulla privatizzazione delle ditte ha entusiasmato la sala .	I libri sulle privatizzazioni delle ditte ha entusiasmato la sala .
4	La conferenza è cominciata più tardi del previsto .	La conferenza sulla storia è cominciata più tardi del previsto .	La conferenza sulle storie è cominciata più tardi del previsto .	La conferenza sulla storia della guerra è cominciata più tardi del previsto .	La conferenza sulle storie della guerra è cominciata più tardi del previsto .	La conferenza sulla storia delle guerre è cominciata più tardi del previsto .	La conferenza sulle storie delle guerre è cominciata più tardi del previsto .	Le conferenze sono cominciate più tardi del previsto .	Le conferenze sulla storia sono cominciate più tardi del previsto .	Le conferenze sulle storie sono cominciate più tardi del previsto .	Le conferenze sulla storia della guerra sono cominciate più tardi del previsto .	Le conferenze sulle storie della guerra sono cominciate più tardi del previsto .	Le conferenze sulla storia delle guerre sono cominciate più tardi del previsto .	Le conferenze sulle storie delle guerre sono cominciate più tardi del previsto .	La conferenza sono cominciate più tardi del previsto .	La conferenza sulla storia sono cominciate più tardi del previsto .	La conferenza sulle storie sono cominciate più tardi del previsto .	La conferenza sulla storia della guerra sono cominciate più tardi del previsto .	La conferenza sulle storie della guerra sono cominciate più tardi del previsto .	La conferenza sulla storia delle guerre sono cominciate più tardi del previsto .	La conferenza sulle storie delle guerre sono cominciate più tardi del previsto .	Le conferenze è cominciata più tardi del previsto .	Le conferenze sulla storia è cominciata più tardi del previsto .	Le conferenze sulle storie è cominciata più tardi del previsto .	Le conferenze sulla storia della guerra è cominciata più tardi del previsto .	Le conferenze sulle storie della guerra è cominciata più tardi del previsto .	Le conferenze sulla storia delle guerre è cominciata più tardi del previsto .	Le conferenze sulle storie delle guerre è cominciata più tardi del previsto .
5	Lo studio apparirà presto .	Lo studio sull' effetto apparirà presto .	Lo studio sugli effetti apparirà presto .	Lo studio sull' effetto della droga apparirà presto .	Lo studio sugli effetti della droga apparirà presto .	Lo studio sull' effetto delle droghe apparirà presto .	Lo studio sugli effetti delle droghe apparirà presto .	Gli studi appariranno presto .	Gli studi sull' effetto appariranno presto .	Gli studi sugli effetti appariranno presto .	Gli studi sull' effetto della droga appariranno presto .	Gli studi sugli effetti della droga appariranno presto .	Gli studi sull' effetto delle droghe appariranno presto .	Gli studi sugli effetti delle droghe appariranno presto .	Lo studio appariranno presto .	Lo studio sull' effetto appariranno presto .	Lo studio sugli effetti appariranno presto .	Lo studio sull' effetto della droga appariranno presto .	Lo studio sugli effetti della droga appariranno presto .	Lo studio sull' effetto delle droghe appariranno presto .	Lo studio sugli effetti delle droghe appariranno presto .	Gli studi apparirà presto .	Gli studi sull' effetto apparirà presto .	Gli studi sugli effetti apparirà presto .	Gli studi sull' effetto della droga apparirà presto .	Gli studi sugli effetti della droga apparirà presto .	Gli studi sull' effetto delle droghe apparirà presto .	Gli studi sugli effetti delle droghe apparirà presto .
6	La teoria divide i ricercatori .	La teoria sul canto divide i ricercatori .	La teoria sui canti divide i ricercatori .	La teoria sul canto del canarino divide i ricercatori .	La teoria sui canti del canarino divide i ricercatori .	La teoria sul canto dei canarini divide i ricercatori .	La teoria sui canti dei canarini divide i ricercatori .	Le teorie dividono i riercatori .	Le teorie sul canto dividono i riercatori .	Le teorie sui canti dividono i riercatori .	Le teorie sul canto del canarino dividono i riercatori .	Le teorie sui canti del canarino dividono i riercatori .	Le teorie sul canto dei canarini dividono i riercatori .	Le teorie sui canti dei canarini dividono i riercatori .	La teoria dividono i riercatori .	La teoria sul canto dividono i riercatori .	La teoria sui canti dividono i riercatori .	La teoria sul canto del canarino dividono i riercatori .	La teoria sui canti del canarino dividono i riercatori .	La teoria sul canto dei canarini dividono i riercatori .	La teoria sui canti dei canarini dividono i riercatori .	Le teorie divide i ricercatori .	Le teorie sul canto divide i ricercatori .	Le teorie sui canti divide i ricercatori .	Le teorie sul canto del canarino divide i ricercatori .	Le teorie sui canti del canarino divide i ricercatori .	Le teorie sul canto dei canarini divide i ricercatori .	Le teorie sui canti dei canarini divide i ricercatori .
7	La scritta ha irritato sua mamma .	La scritta sulla porta ha irritato sua mamma .	La scritta sulle porte ha irritato sua mamma .	La scritta sulla porta della camera ha irritato sua mamma .	La scritta sulle porte della camera ha irritato sua mamma .	La scritta sulla porta delle camere ha irritato sua mamma .	La scritta sulle porte delle camere ha irritato sua mamma .	Le scritte hanno irritato sua mamma .	Le scritte sulla porta hanno irritato sua mamma .	Le scritte sulle porte hanno irritato sua mamma .	Le scritte sulla porta della camera hanno irritato sua mamma .	Le scritte sulle porte della camera hanno irritato sua mamma .	Le scritte sulla porta delle camere hanno irritato sua mamma .	Le scritte sulle porte delle camere hanno irritato sua mamma .	La scritta hanno irritato sua mamma .	La scritta sulla porta hanno irritato sua mamma .	La scritta sulle porte hanno irritato sua mamma .	La scritta sulla porta della camera hanno irritato sua mamma .	La scritta sulle porte della camera hanno irritato sua mamma .	La scritta sulla porta delle camere hanno irritato sua mamma .	La scritta sulle porte delle camere hanno irritato sua mamma .	Le scritte ha irritato sua mamma .	Le scritte sulla porta ha irritato sua mamma .	Le scritte sulle porte ha irritato sua mamma .	Le scritte sulla porta della camera ha irritato sua mamma .	Le scritte sulle porte della camera ha irritato sua mamma .	Le scritte sulla porta delle camere ha irritato sua mamma .	Le scritte sulle porte delle camere ha irritato sua mamma .
8	Il depliant ha molto interessato .	Il depliant sul tema ha molto interessato .	Il depliant sui temi ha molto interessato .	Il depliant sul tema della comunità ha molto interessato .	Il depliant sui temi della comunità ha molto interessato .	Il depliant sul tema delle comunità ha molto interessato .	Il depliant sui temi delle comunità ha molto interessato .	I depliant hanno molto interessato .	I depliant sul tema hanno molto interessato .	I depliant sui temi hanno molto interessato .	I depliant sul tema della comunità hanno molto interessato .	I depliant sui temi della comunità hanno molto interessato .	I depliant sul tema delle comunità hanno molto interessato .	I depliant sui temi delle comunità hanno molto interessato .	Il depliant hanno molto interessato .	Il depliant sul tema hanno molto interessato .	Il depliant sui temi hanno molto interessato .	Il depliant sul tema della comunità hanno molto interessato .	Il depliant sui temi della comunità hanno molto interessato .	Il depliant sul tema delle comunità hanno molto interessato .	Il depliant sui temi delle comunità hanno molto interessato .	I depliant ha molto interessato .	I depliant sul tema ha molto interessato .	I depliant sui temi ha molto interessato .	I depliant sul tema della comunità ha molto interessato .	I depliant sui temi della comunità ha molto interessato .	I depliant sul tema delle comunità ha molto interessato .	I depliant sui temi delle comunità ha molto interessato .
9	La riga scomparve .	La riga al bordo scomparve .	La riga ai bordi scomparve .	La riga al bordo della strada scomparve .	La riga ai bordi della strada scomparve .	La riga al bordo delle strade scomparve .	La riga ai bordi delle strade scomparve .	Le righe scomparvero .	Le righe al bordo scomparvero .	Le righe ai bordi scomparvero .	Le righe al bordo della strada scomparvero .	Le righe ai bordi della strada scomparvero .	Le righe al bordo delle strade scomparvero .	Le righe ai bordi delle strade scomparvero .	La riga scomparvero .	La riga al bordo scomparvero .	La riga ai bordi scomparvero .	La riga al bordo della strada scomparvero .	La riga ai bordi della strada scomparvero .	La riga al bordo delle strade scomparvero .	La riga ai bordi delle strade scomparvero .	Le righe scomparve .	Le righe al bordo scomparve .	Le righe ai bordi scomparve .	Le righe al bordo della strada scomparve .	Le righe ai bordi della strada scomparve .	Le righe al bordo delle strade scomparve .	Le righe ai bordi delle strade scomparve .
